index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Experimenter.started,reminder.started,Experimenter.stopped,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,Summary.started,textbox.started,summary_done.started,Summary.stopped,textbox.text,summary_done.numClicks,summary_done.timesOn,summary_done.timesOff,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,textbox.stopped,summary_done.stopped,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,Start_Sum_Exp.stopped,sum_button.numClicks,sum_button.timesOn,sum_button.timesOff,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,186.93696862500000,,0.009707958000035430,0.019176916999981600,19.09683937500010,19.09684745800010,42.00785912500000,42.01826758300000,42.03526970800000,42.03526970800000,42.03526970800000,44.27375333300010,1,[2.2461241249999375],[2.2461269169999696],44.27427187500010,44.32288016700000,44.316491375000100,74.33864645800010,74.30891825000000,74.33037579200000,74.53778216700010,74.53778216700010,138.110328083,171.7585609580000,9.916666666666670,87.07690770900000,1,[33.660903125000004],[33.66090566699995],171.76059116700000,171.766294625,186.8984992080000,1,[15.13722908300008],[15.13723200000004],186.899288792,186.93696862500000,186.93696862500000,216.899146792,"It was someone talking to their friend about what seemed like a breakup, and a foot",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.89952795800000,229.74413012500000,0,,,1,12.823508541000000,12.823511541000000,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,249.69961216700000,,,,,,,229.74497075,229.754673583,229.754673583,229.754673583,237.040835292,1,[7.292067250000059],[7.29206995800007],237.04107616700000,237.05656524966700,237.05246550000000,243.26146837500000,243.24246133300000,243.25359937500000,243.512821917,243.512821917,246.83569787500000,248.15217054200000,1.1416666666666700,3.556703666999970,1,[1.32629770799997],[1.326299957999936],248.15263337500000,248.15692125000000,249.68598766700000,1,[1.5329522909999014],[1.5329550409999229],249.68672770800000,249.69961216700000,249.69961216700000,279.686065708,want,0,,,,,,,,,,,,,,,,,279.706264833,279.706264833,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.686566083,284.98806312500000,0,,,0,,,0,,,1,5.291250499999930,5.291253457999920,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
,Someday_47_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_024_of_116_3.wav,I almost feel as though I belong in this crowd tonight or that it's possible I could someday Absolute agency You're kidding me Look at you Dina hugs me hard when I tell her the news her perfectly polished red nails squeezing my arms Rockstar And another agency called Sparks Sparks That's Barney Sparks It's just him He's the whole office He's great He's been around a long time Dina holds her wine glass up already half empty and smiles,What does Dina do when the narrator tells her the news?,A. She hugs her,B. She shakes her hand,C. She kisses her,D. She cheers for her,A. She hugs her,no,7.515,,,,,,,,,,,,,0,0,0,0,,,,,,,,,333.25005658300000,,,,,,,,,,,,,,,334.44064208300000,334.45608474966700,334.4544020420000,341.962336125,341.9744780000000,341.985700458,342.25145058300000,342.25145058300000,344.75564775,345.82973537500000,4.383333333333330,2.7418548330000500,1,[1.0871526670000549],[1.087154833999989],,,,,,,,,,,,,,,345.83040129200000,351.7061475830000,0,,,0,,,0,,,1,5.866988666999990,5.866991167000040,,,284.9885501250000,284.99533895800000,284.99533895800000,333.1936796670000,1,[48.203764375000105],[48.203774458],333.23928450000000,333.25005658300000,333.25005658300000,333.25005658300000,334.44024483300000,1,[1.197725791000039],[1.1977285000000393],,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
,Someday_26_condition.wav,Someday__Someday__Maybe__Unabridged___File_015_of_116_2.wav,My stomach lurches The action between each line is the exact opposite of what the line is After kids are my number one priority it says rushing mom gets daughter to school just as the bell is ringing After the thing about always having time for friends looks at answering machine guiltily and decides to screen the call At the end the harried housewife stuffs an impossible amount of dirty clothes in the washer which miraculously come out clean and she gets a huge hug from her approving husband,What is the narrator's reaction to the script she's reading?,A. Her stomach lurches,B. She finds it amusing,C. She feels inspired,D. She is moved to tears,A. Her stomach lurches,yes,27.83996875,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,386.958406833,,,,,,,,,,,,,,,353.49908812500000,353.5317467913330,353.53029612500000,381.364729375,381.376681708,381.397051583,381.60116029200000,381.60116029200000,384.06456983300000,385.07044291700000,9.916666666666670,2.642805458000000,1,[1.0154123339999614],[1.0154145420000305],,,,,,,386.94734570800000,386.958406833,386.958406833,416.94377758300000,"washing, huge hug from approving husband. Windo washing, school kids ",0,,,,,,,,,,,,,,,,,416.964302792,416.964302792,,,,,,,,351.7070590420000,351.71296833300000,351.71296833300000,351.71296833300000,353.4988987500000,1,[1.7905825409999352],[1.7905851659999144],385.070934458,385.07618137500000,386.9465069170000,1,[1.874729708000018],[1.8747356670000954],,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
,Someday_26_condition.wav,Someday__Someday__Maybe__Unabridged___File_015_of_116_2.wav,My stomach lurches The action between each line is the exact opposite of what the line is After kids are my number one priority it says rushing mom gets daughter to school just as the bell is ringing After the thing about always having time for friends looks at answering machine guiltily and decides to screen the call At the end the harried housewife stuffs an impossible amount of dirty clothes in the washer which miraculously come out clean and she gets a huge hug from her approving husband,What is the narrator's reaction to the script she's reading?,A. Her stomach lurches,B. She finds it amusing,C. She feels inspired,D. She is moved to tears,A. Her stomach lurches,yes,27.83996875,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
,Someday_26_condition.wav,Someday__Someday__Maybe__Unabridged___File_015_of_116_2.wav,My stomach lurches The action between each line is the exact opposite of what the line is After kids are my number one priority it says rushing mom gets daughter to school just as the bell is ringing After the thing about always having time for friends looks at answering machine guiltily and decides to screen the call At the end the harried housewife stuffs an impossible amount of dirty clothes in the washer which miraculously come out clean and she gets a huge hug from her approving husband,What is the narrator's reaction to the script she's reading?,A. Her stomach lurches,B. She finds it amusing,C. She feels inspired,D. She is moved to tears,A. Her stomach lurches,yes,27.83996875,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.944285958,427.318727792,1,10.363856291000000,10.363858708000100,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_2,1,2024-05-04_09h51.46.754,speech_rate,2023.2.3,None,2024-05-04 09h52.26.022892 -0700,
