index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Experimenter.started,reminder.started,Experimenter.stopped,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,Summary.started,textbox.started,summary_done.started,Summary.stopped,textbox.text,summary_done.numClicks,summary_done.timesOn,summary_done.timesOff,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,Start_Sum_Exp.stopped,sum_button.numClicks,sum_button.timesOn,sum_button.timesOff,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,89.27609841600002,,0.012320541000008234,0.022560541000018475,7.008743333000041,7.008751791000009,36.63939791600001,36.650001333000034,36.66726504100001,36.66726504100001,36.66726504100001,46.57228733300002,1,[9.912677999999971],[9.912682582999992],46.572781666000026,46.621418125000034,46.61558116600003,76.63589283300001,76.60623637500004,76.62772387500002,76.83955833300001,76.83955833300001,79.42776045800002,80.38527775,9.116666666666667,2.775277791999997,1,[0.9670682500000112],[0.9670711659999824],80.38739587500004,80.393480791,89.23883525000002,1,[8.850776166999992],[8.850779042],89.239435125,89.27609841600002,89.27609841600002,112.948853375,"The two people are talking about dipping things into cheese, and Jane is the same old jane",1,[23.68327854200004],[23.683285167000008],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.94941391600003,119.23478175000002,1,6.264666834000025,6.264669667000021,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,132.61205137500002,,,,,,,119.23560850000001,119.245096708,119.245096708,119.245096708,121.50954637500001,1,[2.270131249999963],[2.2701338329999885],121.50975491600002,121.52536108266669,121.52351666600003,127.728802583,127.70977854100005,127.72101683300002,127.97111141600004,127.97111141600004,130.60795016600002,131.67655904100002,2.033333333333333,2.8594013330000507,1,[1.0808250840000255],[1.080827499999998],131.67712725,131.68195154100005,132.60046408300002,1,[0.9229611249999721],[0.9229634999999803],132.60102091600004,132.61205137500002,132.61205137500002,137.5171075,wrong,1,[4.912101124999992],[4.912104166000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.517581333,148.43704154100004,0,,,0,,,0,,,1,10.908158958000001,10.908165999999994,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
,Someday_88_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,7.205,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,191.66205308300005,,,,,,,,,,,,,,,175.017975708,175.0338659996667,175.03090012500002,182.2285855,182.24626104100003,182.25747058299999,182.467216958,182.467216958,188.06752733300004,189.49588808300007,2.875,6.335201665999989,1,[1.43771449999997],[1.4377169999999069],,,,,,,191.64808079099998,191.66205308300005,191.66205308300005,209.29797387500003,something was happening without trying too hard,1,[17.64685708400009],[17.646860375000074],,,,,,,,,,,,,,,148.43753866600002,148.44509583300004,148.44509583300004,173.24537312500001,1,[24.806987917000015],[24.806990874999997],173.37586737499998,173.38807295800007,173.38807295800007,173.38807295800007,175.01762266600008,1,[1.6376320000000533],[1.6376345840000113],189.49657104100004,189.50207212500004,191.64732979100006,1,[2.150095333999957],[2.15009816700001],,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
,Someday_88_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,7.205,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
,Someday_88_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_1.wav,It always seems like something that I should like more than I do though some flavors taste like dirty bath water Or maybe I don't like it on principle because I know it's supposed to be healthy If it was filled with calories and fat would I like it more and why oh why am I thinking about this right now This is hardly the time to make a ruling on such a difficult subject What no scotch I say and I can immediately feel my face flush red I put my hand on my hip in what I hope is a jaunty manner in an attempt to cover for the fact that I'm trying too hard,Why does the narrator say she puts her hand on her hip,A. To hide that she is trying too hard,B. To look attractive,C. To rest her hand,D. To be serious,A. To hide that she is trying too hard,yes,7.205,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.29843166600006,212.96477595800002,1,3.6549442909999925,3.6549468330000536,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
,Someday_11_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_008_of_116_3.wav,Hello Yes hi Dad I said Franny this is your father Dad I know How did you know it was me I told you we have caller ID now Is it curable Dad it's that thing where your number comes up when you call What a horrible invention Why would anyone want that So you know who's calling before you pick up Why don't you just say hello who's calling Dad what's up I have an audition To the point then Your Aunt Mary Ellen wanted me to remind you to book a room for Katie's wedding,What does the narrator's father want them to do regarding Katie's wedding?,A. Attend the rehearsal dinner,B. Book a room for the wedding,C. Be a bridesmaid,D. Decline the wedding invitation,B. Book a room for the wedding,no,11.04,,,,,,,,,,,,,0,1,1,1,,,,,,,,,212.973424583,,,,,,,,,,,,,,,215.997931333,216.01349616666667,216.01456274999998,227.06424262500002,227.06548354100005,227.07673379100004,227.32048099999997,227.32048099999997,231.863547541,232.59851383300008,8.0,4.758202624999967,1,[0.747803666999971],[0.7478060839999898],,,,,,,,,,,,,,,232.59892241600005,240.81598908299998,0,,,1,8.207378416999973,8.207381250000026,0,,,0,,,,,,,,,,212.96587475,212.973424583,212.973424583,212.973424583,215.99767887500002,1,[3.030246207999994],[3.0302487080000446],,,,,,,,,,,p_6,001,2024-05-08_12h00.01.482,speech_rate,2023.2.3,None,2024-05-08 12h04.26.910917 -0700,
