index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,skip_button.numClicks,skip_button.timesOn,skip_button.timesOff,Summary.started,textbox.started,Summary.stopped,textbox.text,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,summary_button_exp.started,skip_button_exp.started,Start_Sum_Exp.stopped,summary_button_exp.numClicks,summary_button_exp.timesOn,summary_button_exp.timesOff,skip_button_exp.numClicks,skip_button_exp.timesOn,skip_button_exp.timesOff,textbox.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,68.70353791599996,,0.011956249999911961,16.97061083299991,16.979626999999937,16.995661958000028,16.995661958000028,16.995661958000028,19.485848082999837,1,[2.4982635829999253],[2.498266457999989],19.48624299999983,19.53541966599987,19.531670790999897,49.549041750000015,49.520077249999986,49.541337333,49.759119374999955,49.759119374999955,51.44596424999986,59.90885158299989,10.0,6.6623709160001,1,[8.475582666000037],[8.475585707999926],59.91116495799997,59.91854295799999,68.67231545799996,1,[8.75992958300003],[8.759933250000131],0,,,68.67301562499983,68.70353791599996,83.682114791,flexible green depths romantic new personality Jane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.68232820799994,88.03542429100003,0,,,1,4.334842875000049,4.3348456249998435,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,104.58323695799982,,,,88.03616820799994,88.04826312499995,88.04826312499995,88.04826312499995,90.63759133299982,1,[2.5981703749998815],[2.598173124999903],90.63779833299986,90.65344124966647,90.65149895799982,98.15750570799992,98.13921399999981,98.14978224999982,98.37798762499983,98.37798762499983,101.13372883299985,103.57177383299995,3.9416666666666664,2.959449624999934,1,[2.447387875000004],[2.4473902499998985],103.57225154100001,103.58218099999999,104.55742149999992,1,[0.9844759590000649],[0.9844785420000335],0,,,104.55813695799998,104.58323695799982,119.56749116599985,something feels so wrong now i mean how could you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5676753329999,127.10832995800001,1,7.531095874999892,7.531098250000014,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_94_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_041_of_116_1.wav,He doesn't say anything so I feel obligated to keep going It's as if I'm not driving this train anymore I'm just holding on trying not to crash completely I've always loved the theater I say Thank God It isn't original but it's TRUE at least My dad would take me when I was a kid to whatever little show was playing in our town in Connecticut and we'd also see most of what was in New Haven and sometimes we'd come into the city and it wasn't just theater It was ballet and music and modern dance too I pause,What is the narrator's childhood connection to the theater?,A. She used to perform in school plays,B. Her father would take her to various shows,C. She always dreamed of becoming an actor,D. She was part of a local theater group,B. Her father would take her to various shows,no,13.094375,,,,,,,,,,,,,0,0,0,0,,,,,,,,,193.2393050830001,,,,,,,,,,,,195.86247408300005,195.89499958333323,195.88377979100005,208.97289662499998,208.99053008300007,209.00175991600008,209.23888937499987,209.23888937499987,211.69469304099994,216.10318504099996,9.016666666666666,6.201268499999969,1,[4.417422249999618],[4.41742504099966],,,,,,,,,,,,,,216.1039551660001,220.6269729999999,0,,,1,4.511240583000017,4.511243583000123,0,,,0,,,127.10873645799984,127.116727416,127.116727416,193.08872829099982,1,[65.97927704199992],[65.9792796669999],193.22879083299995,193.2393050830001,193.2393050830001,193.2393050830001,195.86209491599993,1,[2.6297386660003212],[2.6297410410002158],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_35_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_020_of_116_0.wav,Who put that there Oh No is that what I said Yes that was it I have no idea why it doesn't even make sense Who put that there How stupid I just couldn't think of anything else They laughed though I think they laughed Maybe they gasped in horror No they definitely laughed when I said that They gasped when I fell that's what it was Was it a gasp of disgust were they merely expressing concern for my safety I can't remember,What does the narrator wonder about the audience's reaction?,A. Whether they laughed or gasped,B. Whether they cried or screamed,C. Whether they left the play,D. Whether they were distracted,A. Whether they laughed or gasped,no,7.3625,,,,,,,,,,,,,0,1,1,1,,,,,,,,,220.63979166599984,,,,,,,,,,,,223.28202558299972,223.29808449966666,223.29535729100007,230.657553,230.66237858299974,230.6736797499998,230.878206375,230.878206375,240.49009208300004,241.36954008299972,5.441666666666666,9.788582916999985,1,[0.892627082999752],[0.892629333000059],,,,,,,,,,,,,,241.36992633299997,251.08184600000004,0,,,0,,,1,9.703154499999982,9.703156957999909,0,,,,,,,,,,220.62813612499986,220.63979166599984,220.63979166599984,220.63979166599984,223.28183083299973,1,[2.652142208999976],[2.6521447919999446],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_83_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_037_of_116_4.wav,I sound odd to myself as if I'm playing the part of a professional actress who has meetings all the time and is sort of blasé about them I loved Barney Sparks I want to tell Dan but I'm suspicious of anything that seems too easy I'm not sure why I can't say that now and not sure why I didn't jump at the chance to say yes in Barney's office It feels like I'm an actor in an Italian movie from the 60s saying the placeholder lines into the camera waiting for the real ones that come later,What is the narrator suspicious of?,A. Things that take too long,B. Things that are hard to do,C. Things that seem controversial,D. Things that seem too easy,D. Things that seem too easy,yes,9.071875,,,,,,,,,,,,,0,2,2,2,0,0,0,0,0,0,0,0,268.64379195799984,,,,,,,,,,,,254.08190158299976,254.09791283266648,254.09627945800003,263.1759104160001,263.17689500000006,263.19923233300005,263.40182537500004,263.40182537500004,265.97466829099994,266.754644958,5.0,2.7456570839999586,1,[0.7928338330002589],[0.7928361250001217],,,,,,,,,,268.63448279099975,268.64379195799984,283.6275554159997,actress from the 60s waiting for the camera barney's office,,,,,,,,,,,,,,,,,,,,,,251.0823802079999,251.09074812500012,251.09074812500012,251.09074812500012,254.08171025000001,1,[2.998934916000053],[2.9989375830000427],266.75516508300007,266.7625265409997,266.7625265409997,266.7625265409997,268.63373108299993,1,[1.877290333000019],[1.8772932500000934],0,,,283.64752904099987,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_83_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_037_of_116_4.wav,I sound odd to myself as if I'm playing the part of a professional actress who has meetings all the time and is sort of blasé about them I loved Barney Sparks I want to tell Dan but I'm suspicious of anything that seems too easy I'm not sure why I can't say that now and not sure why I didn't jump at the chance to say yes in Barney's office It feels like I'm an actor in an Italian movie from the 60s saying the placeholder lines into the camera waiting for the real ones that come later,What is the narrator suspicious of?,A. Things that take too long,B. Things that are hard to do,C. Things that seem controversial,D. Things that seem too easy,D. Things that seem too easy,yes,9.071875,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
