index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,skip_button.numClicks,skip_button.timesOn,skip_button.timesOff,Summary.started,textbox.started,Summary.stopped,textbox.text,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,textbox.stopped,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,summary_button_exp.started,skip_button_exp.started,Start_Sum_Exp.stopped,summary_button_exp.numClicks,summary_button_exp.timesOn,summary_button_exp.timesOff,skip_button_exp.numClicks,skip_button_exp.timesOn,skip_button_exp.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,74.56454329200005,,0.011559083000065584,33.465362124999956,33.47389300000009,33.49013095800001,33.49013095800001,33.49013095800001,35.580984167,1,[2.0988763330001348],[2.0988787920000505],35.581335667000076,35.63062812499997,35.62665191700012,65.640060833,65.60999850000007,65.63229737500001,65.85423637500003,65.85423637500003,67.64418241700014,68.53716187500004,10,1.9865837079998983,1,[0.9028875839999273],[0.9028902919999382],68.53921670800014,68.54660783300005,74.5343599580001,1,[5.993903917000125],[5.993906500000094],0,,,74.53523758300003,74.56454329200005,89.54352549999999,friends dip I'm still the same old Jane new personality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.54376633300012,94.81761195800004,0,,,1,5.255602957999827,5.255605916999912,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,109.76239504199998,,,,94.81832833299995,94.82588141700012,94.82588141700012,94.82588141700012,98.55289354199999,1,[3.7313858340000934],[3.7313882920000196],98.55309566699998,98.56910691666668,98.56885762499996,106.07979916700015,106.06244941700015,106.07365941700004,106.3059820420001,106.3059820420001,107.99523304200011,108.81808675000002,1,1.8969540420000612,1,[0.8321530000000621],[0.8321550840000782],108.8185846670001,108.82693800000015,109.75227220800002,1,[0.9329748750001272],[0.9329775000001064],0,,,109.75299199999995,109.76239504199998,124.74672841699999,How could you? something feels so wrong. conversation. having sex?,,,,,,,,,,,,,,,124.76700779199996,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.74705474999996,136.54030812500014,0,,,0,,,0,,,1,11.78344012499997,11.783442874999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
,Someday_3_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_005_of_116_1.wav,I suppose I did but I'm still too groggy to focus on the details Normally I would have asked our other roommate my best friend Jane but she's been working nights as a PA on that new Russell Blakely movie Since Dan moved into the bedroom downstairs a few months ago I haven't noticed much about him except how unnecessarily tall he is how many hours he spends writing at the computer and the intense fear he seems to have about coming upon either of us when we're not decent Dan come in You're decent,What is the main reason the narrator doesn't ask their roommate Jane for help?,A. Jane is too busy working,B. Jane is not a good friend,C. The narrator doesn't trust Jane,D. The narrator prefers not to tak to anyone,A. Jane is too busy working,yes,11.12625,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,218.08491212500007,,,,,,,,,,,,201.16746241700002,201.18320862466683,201.18778825000004,212.30614250000008,212.31809554200004,212.32927091700003,212.56496545799996,212.56496545799996,215.68335433300012,216.67873295799996,5.991666666666666,3.3139084580000144,1,[1.0207167500000196],[1.020718959000078],,,,,,,,,,218.0754998330001,218.08491212500007,233.06900137499997,"Dan come in, you're decent? Roommate. Not decent.",,,,,,,,,,,,,,,233.09107670799995,136.54081604199996,136.5482313750001,136.5482313750001,198.335272583,1,[61.79284420900012],[61.792854959000124],198.479047542,198.49022620799997,198.49022620799997,198.49022620799997,201.1670422080001,1,[2.684114832999967],[2.684117457999946],216.67947045799997,216.686266917,216.686266917,216.686266917,218.07471525000005,1,[1.3940460830001484],[1.3940488750001805],0,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
,Someday_3_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_005_of_116_1.wav,I suppose I did but I'm still too groggy to focus on the details Normally I would have asked our other roommate my best friend Jane but she's been working nights as a PA on that new Russell Blakely movie Since Dan moved into the bedroom downstairs a few months ago I haven't noticed much about him except how unnecessarily tall he is how many hours he spends writing at the computer and the intense fear he seems to have about coming upon either of us when we're not decent Dan come in You're decent,What is the main reason the narrator doesn't ask their roommate Jane for help?,A. Jane is too busy working,B. Jane is not a good friend,C. The narrator doesn't trust Jane,D. The narrator prefers not to tak to anyone,A. Jane is too busy working,yes,11.12625,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
,Someday_3_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_005_of_116_1.wav,I suppose I did but I'm still too groggy to focus on the details Normally I would have asked our other roommate my best friend Jane but she's been working nights as a PA on that new Russell Blakely movie Since Dan moved into the bedroom downstairs a few months ago I haven't noticed much about him except how unnecessarily tall he is how many hours he spends writing at the computer and the intense fear he seems to have about coming upon either of us when we're not decent Dan come in You're decent,What is the main reason the narrator doesn't ask their roommate Jane for help?,A. Jane is too busy working,B. Jane is not a good friend,C. The narrator doesn't trust Jane,D. The narrator prefers not to tak to anyone,A. Jane is too busy working,yes,11.12625,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.069237917,241.07754225000008,0,,,1,7.996173292000094,7.9961761669999305,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
,Someday_34_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_019_of_116_2.wav,Who falls on stage wearing nothing but a bathrobe Why Why Why Why The monologue was going so well too or at least I think it was I'm not sure of anything now The audience seemed to be laughing in all the right places That's actually what threw me I think Their laughter threw my whole rhythm off having to wait until it died down before I could continue But still it was all okay until I tried to sit down The stage was just so dark and the lights were in my eyes,What disrupted the narrator's monologue performance?,A. The audience's laughter,B. The noise from the backstage,C. The unexpected props,D. The malfunctioning lights,A. The audience's laughter,no,15.085,,,,,,,,,,,,,0,1,1,1,,,,,,,,,241.10116104200006,,,,,,,,,,,,243.04077262500005,243.07309841633338,243.06514708300006,258.14233141700015,258.1590362500001,258.180486083,258.41892870800007,258.41892870800007,260.8748303750001,262.04992104200005,7.908333333333333,3.3123059999998077,1,[1.1841088749999926],[1.1841115830000035],,,,,,,,,,,,,,262.05038420799997,270.8283892500001,0,,,0,,,0,,,1,8.768844499999886,8.76884733299994,,,,,,,,,241.07863891700003,241.10116104200006,241.10116104200006,241.10116104200006,243.04057558299996,1,[1.9605240830001094],[1.9605267500000991],,,,,,,,,,,,p_5,001,2024-03-14_13h28.19.914,speech_rate,2023.2.3,None,2024-03-14 13h33.41.686296 -0700,
