index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Summary.started,textbox.started,summary_done.started,Summary.stopped,textbox.text,summary_done.numClicks,summary_done.timesOn,summary_done.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,37.165102583000134,,0.010667000000012195,37.13959483300005,37.149523583000246,37.165102583000134,37.165102583000134,37.165102583000134,39.62110212500011,1,[2.463429959000223],[2.463432584000202],39.62149233300033,39.67072904100023,39.66542287500033,69.69425454100019,69.64983908300019,69.671314833,69.69425454100019,69.69425454100019,96.45768112499991,somehing about yellow depths personality and same old jane,1,[26.773138958000345],[26.77314137500025],,,,,,,,,,,,,,,,,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
2,Someday_trial_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,7.5,0,1,1,1,,,,,96.4684487909999,,,,96.45815666599992,96.4684487909999,96.4684487909999,96.4684487909999,104.97227079100003,1,[8.510227833000044],[8.510237708000204],104.97260029100016,104.98524591666661,104.98609475000012,112.5057347500001,112.48560145800002,112.49680154099997,112.5057347500001,112.5057347500001,128.37548100000004,nothing makes sense,1,[15.87718920799989],[15.877191957999912],,,,,,,,,,,,,,,,,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_142_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_088_of_116_2.wav,"Metro North is on strike. So I can't take the train I have no wallet. No driver's license. I can't pick up the rental car Two nights ago on the way home from James's I arrived at our front door Just as our downstairs neighbor was leaving and Dan and Jane were home with the door to our place already open So it wasn't until I went to get bagels the next morning that I realized in my rush to leave I forgot my purse at James's apartment. I left him a message, but he must have already taken off for Los Angeles",Where did the narrator forget her purse?,A. In the subway,B. In James's apartment,C. In the acting school,D. In the cab,B. In James's apartment,no,8.51471875,,,,,0,0,0,0,183.0560316250003,,,,,,,,,,,,185.04605308300006,185.0620073746666,185.06248462500025,193.572832458,193.5899695410003,193.60112325,193.60954312500007,193.60954312500007,214.93105462500034,They left something in Jane's apartment but they had to go to Los Angeles,1,[21.328581250000298],[21.328583833000266],128.37573650000013,128.38414679100015,128.38414679100015,182.97666800000025,1,[54.600162958000055],[54.6001655],183.04262295800027,183.0560316250003,183.0560316250003,183.0560316250003,185.0457018750003,1,[1.9998066660000404],[1.9998092499999984],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_20_condition.wav,Someday__Someday__Maybe__Unabridged___File_012_of_116_1.wav,Upstairs the waiting room is crowded which means there must be a few different casting calls There are boys and girls near the age of the elevator twins a couple of men in their 50s both in suit and tie and several girls who remind me of me but a better more put together me the me who would play me in the TV movie of the fictional life of the real me I sign in Name time arrived time scheduled agency social security number,What observation does the narrator make about the individuals in the waiting room?,A. They are all likely there for the same casting call,B. They are unorganized and scattered,"C. They appear to be different versions of the narrator, better and more composed",D. They are unrelated to the narrator's field of work,"C. They appear to be different versions of the narrator, better and more composed",no,27.41,,,,,0,1,1,1,214.94036200000028,,,,,,,,,,,,217.71188145800033,217.74131933333325,217.74310695800023,245.14826754100022,245.1524370410002,245.1738291659999,245.1826408750003,245.1826408750003,300.00257979100024,"The person sees different people, elevator twins and girls who remind her of her who would play her in a fictional show about her. She signs in with agency and social security number.",1,[54.82734375000018],[54.82734633300015],,,,,,,,214.931679583,214.94036200000028,214.94036200000028,214.94036200000028,217.7115832909999,1,[2.777635458000077],[2.777644875000078],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_91_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_040_of_116_0.wav,Please go ahead and begin your monologue whenever you're ready We can chat afterwards Take your time His words are encouraging but his face is neutral at best And when there are two people in a room and one of them is there purely to see the other person do something the notion that that person could actually take their time seems ridiculous But I try I try to take a deep breath but the air gets sort of stuck and doesn't go all the way down to my lungs I need a minute to calm down but I can't possibly take it,What is the narrator's reaction to the suggestion to take her time?,A. She feels comforted,B. She finds it ridiculous,C. She rejects the offer,D. She chats with the agent first,B. She finds it ridiculous,yes,7.1475,,,,,0,2,2,2,300.0100707910001,,,,,,,,,,,,303.61742170800017,303.6329957076666,303.6305768330003,310.77927820800005,310.78195191600025,310.80354345800015,310.814201916,310.814201916,322.75354991600034,She tries to take a deep breath and she cannot believe it. ,1,[11.946861542000079],[11.946864042000016],,,,,,,,300.0029665830002,300.0100707910001,300.0100707910001,300.0100707910001,303.6171953329999,1,[3.613756208000268],[3.613758792000226],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_33_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_018_of_116_2.wav,Well I wouldn't say I'd be amazing in it although thanks for saying so I think I'd just be okay in it I mean it is sort of right in my wheelhouse but I think you'd actually be great in it I'm serious I mean I could do it I guess and I probably would do it if they asked but I think my problem with it isn't the play itself but the guy who's in it now What's his name Anyway it doesn't matter I just think he's not really acting so much as just smoldering or something up there and I'm like buddy you can't just play every scene sexy I mean that's not an active choice,What issue does the narrator have with the actor currently in the play?,A. She thinks he's too active,B. She believes he's too serious,C. She thinks he's smoldering too much,D. She has no issue with him,C. She thinks he's smoldering too much,no,13.365625,,,,,0,3,3,3,322.7625121250003,,,,,,,,,,,,327.2013765830002,327.2308431243332,327.2215983750002,340.58121654100023,340.5993617500003,340.6216830000003,340.6301511659999,340.6301511659999,383.1402350000003,She's talking about how another actor is just okay and calls him buddy. He cannot always play sexy and smoulder. It's not an active choice. ,1,[42.51712941599999],[42.51713212499999],,,,,,,,322.7539032499999,322.7625121250003,322.7625121250003,322.7625121250003,327.20109245799995,1,[4.44512529099984],[4.445130125000105],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_139_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_081_of_116_1.wav,"Sorry, you guys says Dan I suck. I don't know how actors do it. I want to help Can I just read this next scene to myself first before we do it out loud? Of course I say to him generously then I turn to Jane and roll my eyes these method actors Here you go. Mr. James Dean sir says Jane handing him a single sheet of paper. It's just the one page What a drama queen he is don't quit your day job Danny Dan pours over the single sheet holding it tightly on either side.",What does the narrator do when she turns to Jane?,A. She rolls her eyes,B. She smiles,C. She winks,D. She nods,A. She rolls her eyes,no,13.749,,,,,0,4,4,4,383.15032062499995,,,,,,,,,,,,384.37192400000004,384.38749766666683,384.391782875,398.13371725000025,398.1395377910003,398.15068254100015,398.159348875,398.159348875,422.1923610829999,She apologizes and wants to look at the script to go over it. ,1,[24.040374000000156],[24.040376541000114],,,,,,,,383.14061791600034,383.15032062499995,383.15032062499995,383.15032062499995,384.3717033329999,1,[1.2280894999998964],[1.2280922499999178],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_65_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_032_of_116_0.wav,From the minute I walk into the wardrobe fitting in a trailer near mine I'm confused There are two giant rolling racks one full of tan trousers one stuffed with 30 or 40 identical blue shirts Oh Are there are there more people coming I ask a harried looking woman nearby She looks at me as though I've said something strange what oh the racks No those are all for you But aren't these all the same pants I say laughing a little,What does the narrator find confusing in the wardrobe fitting?,A. The lack of clothing options,B. The number of people there,C. The presence of a harried woman,D. The identical blue shirts and tan trousers,D. The identical blue shirts and tan trousers,yes,10.53375,,,,,0,5,5,5,422.2006759579999,,,,,,,,,,,,428.10948254100003,428.125469041667,428.12785008300034,438.6698324580002,438.6719387080002,438.6942738329999,438.70515987499994,438.70515987499994,465.4784830409999,She goes into the trailer and sees trousers and talks to another lady about her confusion. The lady says they're all for you. ,1,[26.78225245800013],[26.782254916000056],,,,,,,,422.192675625,422.2006759579999,422.2006759579999,422.2006759579999,428.1092946250001,1,[5.916136999999708],[5.916139624999687],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_39_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_021_of_116_1.wav,People who are admired for holding it together are not people who are about to get agents They're people who are recovering from cancer or undergoing a murder trial And I dropped a section I add hoping he'll say he didn't notice Yeah I know but I only know because I'm obsessed with that guy's work No one will dock you for that It's not exactly a glowing review but he doesn't seem totally horrified Still he's avoiding the thing I most want to know But when I fell I mean how bad was it,What does the narrator hope the person they are talking to will say?,A. That he didn't notice the mistake,B. That he noticed the dropped section,C. That he wants to be an agent,D. That he's obsessed with the narrator's work,A. That he didn't notice the mistake,no,9.134375,,,,,0,6,6,6,465.48834341600013,,,,,,,,,,,,469.5143404160003,469.5280389996667,469.5298471660003,478.660150791,478.6629951250002,478.6740782080001,478.68287041600024,478.68287041600024,492.51346145800017,She was horrified and takes a deep breath. That was it. ,1,[13.837968416999956],[13.837973917],,,,,,,,465.47882441599995,465.48834341600013,465.48834341600013,465.48834341600013,469.5138538750002,1,[4.031175167000129],[4.031185667000045],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
,Someday_103_condition.wav,Someday__Someday__Maybe__Unabridged___File_045_of_116_1.wav,So I let it soften back down to the small giggle and finally exhausted but happy I let out a little sigh that's interrupted by an almost involuntary hiccup like I gulp down too much champagne all at once It's a blur from that point on a series of snapshots that flashed before me The woman in the back mouthing see to the disgruntled man who nods and shrugs at her in a way That says who knew and the man in glasses asking me to wait in the waiting room,What happens after the narrator finishes their audition?,A. She is congratulated by the casting director,B. She is asked to perform the laugh again,C. She is asked to wait in the waiting room,D. She is immediately given the role,C. She is asked to wait in the waiting room,no,28.64,,,,,0,7,7,7,492.5232943330002,,,,,,,,,,,,494.47348012500015,494.50607537433325,494.50549954100006,523.1580425830002,523.160066333,523.1816319160002,523.1904385410003,523.1904385410003,565.9337914160001,"She hiccups like she has a full glass of champagne. And the man in the waiting room says, "who knew."",1,[42.75070029199969],[42.7507029999997],,,,,,,,492.5137855410003,492.5232943330002,492.5232943330002,492.5232943330002,494.47329416599996,1,[1.9567288329999428],[1.9567315409999537],,,,,p_2,001,2024-03-28_10h21.50.055,speech_rate,2023.2.3,None,2024-03-28 10h25.24.758483 -0700,
