Word,Surprisal,Word_Onset,Word_Onset_Samples
A,0,0.24,60
fox,16.4503173828125,0.2800000000000000,70
was,5.15307521820068,0.4520000000000000,113
walking,7.24704122543335,0.52,130
through,4.04427909851074,0.692,173
a,2.1816394329071,0.788,197
vine,10.070671081543,0.8,200
on,4.00733518600464,0.976,244
a,2.33934426307678,1.032,258
hot,5.07542753219605,1.048,262
summer,1.27216589450836,1.168,292
day,1.05183756351471,1.292,323
His,5.08273410797119,1.6,400
stomach,9.16020679473877,1.672,418
grow,8.93110847473145,1.864,466
loudly,5.91330146789551,2.04,510
and,1.57419741153717,2.284,571
his,2.89994311332703,2.34,585
tongue,7.62022352218628,2.4,600
felt,7.83780527114868,2.516,629
dry,7.03137922286987,2.608,652
He,2.14322209358215,2.916,729
was,3.81376194953919,2.976,744
thirsty,7.2061972618103,3.048,762
and,3.22652244567871,3.252,813
hungry,2.89640522003174,3.2920000000000000,823
looking,9.49148464202881,3.524,881
for,1.87754023075104,3.648,912
something,1.7314453125,3.692,923
to,0.843238592147827,3.84,960
eat,1.15541923046112,3.876,969
As,5.94050884246826,4.256,1064
he,0.794022977352142,4.324,1081
walked,3.37802720069885,4.368,1092
he,1.33085751533508,4.508,1127
saw,3.50556325912476,4.58,1145
some,6.66323947906494,4.668,1167
ripe,10.9120683670044,4.764,1191
purple,11.0009346008301,4.944,1236
grapes,5.7597393989563,5.044,1261
hanging,5.80906820297241,5.212,1303
from,1.37095367908478,5.38,1345
a,1.67505443096161,5.452,1363
vine,2.78116035461426,5.48,1370
They,5.24364471435547,5.808,1452
looked,4.24014329910278,5.872,1468
big,8.965012550354,5.972,1493
juicy,6.5855016708374,6.132,1533
and,0.433169215917587,6.308,1577
sweet,5.83303594589233,6.372,1593
in,5.97507190704346,6.524000000000000,1631
the,2.99731850624084,6.588000000000000,1647
bright,7.46885681152344,6.628,1657
sunlight,1.73374438285828,6.764,1691
The,3.5091769695282,7.184,1796
fox,4.25132751464844,7.24,1810
l,9.76366138458252,7.38,1845
his,1.34949672222137,7.484,1871
lips,0.266374945640564,7.564,1891
excited,10.1592121124268,7.712000000000000,1928
by,4.40682554244995,7.924000000000000,1981
the,0.490653067827225,7.988000000000000,1997
sight,2.84591102600098,8.036,2009
Ah,13.8058414459229,8.408,2102
just,8.41308116912842,8.544,2136
what,3.2691912651062,8.684000000000000,2171
I,4.5184440612793,8.732,2183
need,4.43362236022949,8.772,2193
he,3.75519132614136,8.872,2218
said,3.50091290473938,8.940000000000000,2235
But,6.76766300201416,9.244,2311
as,5.88335084915161,9.296,2324
he,0.529345214366913,9.372,2343
approached,5.954176902771,9.416,2354
the,1.3465793132782,9.656,2414
grapes,3.51328825950623,9.692,2423
he,1.15010070800781,9.848,2462
realized,4.606614112854,9.916,2479
they,3.31004548072815,10.116,2529
hung,13.2192678451538,10.172,2543
sideways,12.004903793335,10.276,2569
above,8.10509967803955,10.472,2618
shimmer,13.9052896499634,10.776,2694
like,3.42167258262634,10.968,2742
am,11.7896747589111,11.048,2762
against,9.33123016357422,11.344,2836
the,0.610838532447815,11.508,2877
lush,10.0011053085327,11.544,2886
green,1.7074875831604,11.676,2919
of,3.22966527938843,11.812,2953
the,0.336448132991791,11.86,2965
leaves,6.41174411773682,11.904,2976
They,4.45927953720093,12.348,3087
seemed,5.44240093231201,12.408,3102
almost,7.16075611114502,12.54,3135
surreal,10.6377201080322,12.68,3170
each,10.8530626296997,13.004,3251
grape,6.57607555389404,13.108,3277
catching,11.2150659561157,13.216,3304
the,2.01171064376831,13.364,3341
sunlight,4.73523044586182,13.404,3351
like,3.88028001785278,13.564000000000000,3391
a,0.735075950622559,13.632,3408
polished,11.6651878356934,13.66,3415
gem,5.34413814544678,13.908,3477
The,2.92838788032532,14.344,3586
fox,1.75494706630707,14.392,3598
calculated,15.4006252288818,14.524,3631
his,3.10278224945068,14.776,3694
approach,6.22706508636475,14.852,3713
analyzing,12.3969030380249,15.212,3803
the,1.18679106235504,15.448,3862
angle,8.20758533477783,15.5,3875
