Word,Surprisal,Word_Onset,Word_Onset_Samples
A,0,0.6,150.0
fox,16.4503173828125,0.7,175.0
was,5.15307521820068,1.13,282.5
walking,7.24704122543335,1.3,325.0
through,4.04427909851074,1.73,432.5
a,2.1816394329071,1.97,492.5
vine,10.070671081543,2.0,500.0
on,4.00733518600464,2.44,610.0
a,2.33934426307678,2.58,645.0
hot,5.07542753219605,2.62,655.0
summer,1.27216589450836,2.92,730.0
day,1.05183756351471,3.23,807.5
His,5.08273410797119,4.0,1000.0
stomach,9.16020679473877,4.18,1045.0
grow,8.93110847473145,4.66,1165.0
loudly,5.91330146789551,5.1,1275.0
and,1.57419741153717,5.71,1427.5
his,2.89994311332703,5.85,1462.5
tongue,7.62022352218628,6.0,1500.0
felt,7.83780527114868,6.29,1572.5
dry,7.03137922286987,6.52,1630.0
He,2.14322209358215,7.29,1822.5
was,3.81376194953919,7.44,1860.0
thirsty,7.2061972618103,7.62,1905.0
and,3.22652244567871,8.13,2032.5
hungry,2.89640522003174,8.23,2057.5
looking,9.49148464202881,8.81,2202.5
for,1.87754023075104,9.12,2280.0
something,1.7314453125,9.23,2307.5
to,0.843238592147827,9.6,2400.0
eat,1.15541923046112,9.69,2422.5
As,5.94050884246826,10.64,2660.0
he,0.794022977352142,10.81,2702.5
walked,3.37802720069885,10.92,2730.0
he,1.33085751533508,11.27,2817.5
saw,3.50556325912476,11.45,2862.5
some,6.66323947906494,11.67,2917.5
ripe,10.9120683670044,11.91,2977.5
purple,11.0009346008301,12.36,3090.0
grapes,5.7597393989563,12.61,3152.5
hanging,5.80906820297241,13.03,3257.5
from,1.37095367908478,13.45,3362.5
a,1.67505443096161,13.63,3407.5
vine,2.78116035461426,13.7,3425.0
They,5.24364471435547,14.52,3630.0
looked,4.24014329910278,14.68,3670.0
big,8.965012550354,14.93,3732.5
juicy,6.5855016708374,15.33,3832.5
and,0.433169215917587,15.77,3942.5
sweet,5.83303594589233,15.93,3982.5
in,5.97507190704346,16.31,4077.5
the,2.99731850624084,16.47,4117.5
bright,7.46885681152344,16.57,4142.5
sunlight,1.73374438285828,16.91,4227.5
The,3.5091769695282,17.96,4490.0
fox,4.25132751464844,18.1,4525.0
l,9.76366138458252,18.45,4612.5
his,1.34949672222137,18.71,4677.5
lips,0.266374945640564,18.91,4727.5
excited,10.1592121124268,19.28,4820.0
by,4.40682554244995,19.81,4952.5
the,0.490653067827225,19.97,4992.5
sight,2.84591102600098,20.09,5022.5
Ah,13.8058414459229,21.02,5255.0
just,8.41308116912842,21.36,5340.0
what,3.2691912651062,21.71,5427.5
I,4.5184440612793,21.83,5457.5
need,4.43362236022949,21.93,5482.5
he,3.75519132614136,22.18,5545.0
said,3.50091290473938,22.35,5587.5
But,6.76766300201416,23.11,5777.5
as,5.88335084915161,23.24,5810.0
he,0.529345214366913,23.43,5857.5
approached,5.954176902771,23.54,5885.0
the,1.3465793132782,24.14,6035.0
grapes,3.51328825950623,24.23,6057.5
he,1.15010070800781,24.62,6155.0
realized,4.606614112854,24.79,6197.5
they,3.31004548072815,25.29,6322.5
hung,13.2192678451538,25.43,6357.5
sideways,12.004903793335,25.69,6422.5
above,8.10509967803955,26.18,6545.0
shimmer,13.9052896499634,26.94,6735.0
like,3.42167258262634,27.42,6855.0
am,11.7896747589111,27.62,6905.0
against,9.33123016357422,28.36,7090.0
the,0.610838532447815,28.77,7192.5
lush,10.0011053085327,28.86,7215.0
green,1.7074875831604,29.19,7297.5
of,3.22966527938843,29.53,7382.5
the,0.336448132991791,29.65,7412.5
leaves,6.41174411773682,29.76,7440.0
They,4.45927953720093,30.87,7717.5
seemed,5.44240093231201,31.02,7755.0
almost,7.16075611114502,31.35,7837.5
surreal,10.6377201080322,31.7,7925.0
each,10.8530626296997,32.51,8127.5
grape,6.57607555389404,32.77,8192.5
catching,11.2150659561157,33.04,8260.0
the,2.01171064376831,33.41,8352.5
sunlight,4.73523044586182,33.51,8377.5
like,3.88028001785278,33.91,8477.5
a,0.735075950622559,34.08,8520.0
polished,11.6651878356934,34.15,8537.5
gem,5.34413814544678,34.77,8692.5
The,2.92838788032532,35.86,8965.0
fox,1.75494706630707,35.98,8995.0
calculated,15.4006252288818,36.31,9077.5
his,3.10278224945068,36.94,9235.0
approach,6.22706508636475,37.13,9282.5
analyzing,12.3969030380249,38.03,9507.5
the,1.18679106235504,38.62,9655.0
angle,8.20758533477783,38.75,9687.5
of,1.19578790664673,39.11,9777.5
the,0.903268337249756,39.2,9800.0
vine,1.84848737716675,39.29,9822.5
and,3.00929808616638,39.69,9922.5
how,5.74137115478516,39.81,9952.5
agile,15.0231628417969,40.24,10060.0
and,5.53711366653442,40.81,10202.5
flexible,6.43001842498779,40.92,10230.0
his,5.76278686523438,41.36,10340.0
muscles,9.00228023529053,41.55,10387.5
felt,7.73825883865356,41.95,10487.5
With,6.81415224075317,42.9,10725.0
the,4.16818380355835,43.07,10767.5
leap,9.60708236694336,43.15,10787.5
that,5.81586170196533,43.38,10845.0
felt,10.0142021179199,43.66,10915.0
almost,7.54019689559937,43.96,10990.0
chore,12.5844097137451,44.37,11092.5
he,0.626460909843445,45.17,11292.5
snapped,9.8363847732544,45.4,11350.0
his,1.70551431179047,45.76,11440.0
jaws,7.75338935852051,45.95,11487.5
at,8.62121963500977,46.3,11575.0
the,0.334112584590912,46.42,11605.0
grapes,2.9116108417511,46.51,11627.5
his,6.07722902297974,46.97,11742.5
movements,10.6455078125,47.25,11812.5
precise,10.5686664581299,47.7,11925.0
but,5.39113426208496,48.21,12052.5
futile,10.1634168624878,48.38,12095.0
The,2.76198554039001,49.58,12395.0
elusive,14.8866662979126,49.71,12427.5
fruit,3.5772647857666,50.34,12585.0
t,9.13994884490967,50.92,12730.0
him,0.750735402107239,51.22,12805.0
as,5.92659378051758,51.58,12895.0
though,3.02197313308716,51.8,12950.0
held,13.316614151001,51.98,12995.0
by,4.41926050186157,52.28,13070.0
some,2.7786021232605,52.42,13105.0
invisible,4.87639379501343,52.65,13162.5
force,0.930201411247253,53.2,13300.0
The,2.7990984916687,54.29,13572.5
fox,0.753801167011261,54.43,13607.5
tried,6.54979753494263,54.79,13697.5
again,4.06871366500855,55.06,13765.0
This,3.46772503852844,56.22,14055.0
time,0.0119690475985407,56.45,14112.5
he,2.23767137527466,56.73,14182.5
jumped,7.50229454040527,56.84,14210.0
higher,5.73086071014404,57.07,14267.5
stretching,12.4145221710205,57.55,14387.5
his,1.32799410820007,57.99,14497.5
paws,9.0223798751831,58.16,14540.0
toward,7.37104368209839,58.53,14632.5
the,0.18496461212635,58.81,14702.5
vine,1.98400628566742,58.88,14720.0
But,4.70627641677856,59.89,14972.5
still,7.85461616516113,60.06,15015.0
he,2.81330275535584,60.42,15105.0
could,3.78431820869446,60.6,15150.0
not,0.312980830669403,60.81,15202.5
reach,4.40114736557007,60.99,15247.5
the,1.22664296627045,61.24,15310.0
grapes,2.56368970870972,61.37,15342.5
He,2.0352680683136,62.33,15582.5
tried,5.24736928939819,62.47,15617.5
one,8.75463676452637,62.73,15682.5
more,0.413405448198319,62.9,15725.0
time,0.342566281557083,63.07,15767.5
with,7.29230642318726,63.43,15857.5
all,6.60162353515625,63.58,15895.0
his,0.429484754800797,63.78,15945.0
strength,2.13854289054871,63.95,15987.5
He,2.28472518920898,64.73,16182.5
le,8.07446575164795,65.16,16290.0
into,5.33504629135132,65.24,16310.0
the,0.272818267345428,65.48,16370.0
air,0.609172761440277,65.62,16405.0
and,2.27239632606506,65.93,16482.5
landed,2.42332816123962,66.05,16512.5
back,7.13397789001465,66.38,16595.0
on,0.981167316436768,66.65,16662.5
the,0.80628913640976,66.75,16687.5
ground,2.11650919914246,66.83,16707.5
The,2.43517708778381,67.85,16962.5
grapes,4.01065063476563,67.98,16995.0
were,2.20838165283203,68.34,17085.0
still,3.30287528038025,68.48,17120.0
out,7.83863210678101,68.78,17195.0
of,0.951176345348358,68.95,17237.5
reach,1.40414369106293,69.08,17270.0
T,10.3991689682007,70.15,17537.5
and,1.67714333534241,70.6,17650.0
out,8.39662933349609,70.72,17680.0
of,0.0564126409590244,70.89,17722.5
breath,0.204148262739182,70.99,17747.5
the,0.915040373802185,71.36,17840.0
fox,0.171265989542007,71.5,17875.0
sat,6.43506288528442,71.95,17987.5
down,2.19722580909729,72.1,18025.0
to,5.22670793533325,72.36,18090.0
think,7.6110692024231,72.45,18112.5
As,5.72493314743042,73.37,18342.5
he,0.539461255073547,73.61,18402.5
sat,3.83484816551209,73.73,18432.5
his,3.39782118797302,74.06,18515.0
thoughts,5.47553443908691,74.35,18587.5
turned,4.62509918212891,74.73,18682.5
bitter,12.9347810745239,75.04,18760.0
Were,11.3691320419312,76.08,19020.0
these,2.80716466903687,76.23,19057.5
grapes,1.08645701408386,76.46,19115.0
enchanted,15.9483661651611,76.77,19192.5
he,5.17719125747681,77.3,19325.0
wondered,0.526639521121979,77.42,19355.0
placed,15.5686340332031,78.13,19532.5
here,5.6769552230835,78.47,19617.5
by,2.43175554275513,78.65,19662.5
some,3.24077677726746,78.79,19697.5
demon,9.15861415863037,79.04,19760.0
to,4.44559240341187,79.41,19852.5
mock,10.3062076568604,79.52,19880.0
him,3.23585557937622,79.83,19957.5
He,3.7300734519958500,80.73,20182.5
glared,11.216383934021,80.94,20235.0
at,0.402629554271698,81.23,20307.5
the,0.501790702342987,81.34,20335.0
fruit,5.19891119003296,81.45,20362.5
their,9.9409875869751,82.2,20550.0
flawless,13.5986785888672,82.37,20592.5
surfaces,7.52058267593384,82.94,20735.0
almost,7.00627708435059,83.49,20872.5
gl,7.70191144943237,83.87,20967.5
with,1.4604264497757,84.34,21085.0
malice,12.9078855514526,84.5,21125.0
No,6.63592100143433,85.69,21422.5
ordinary,14.5756120681763,85.95,21487.5
grapes,4.59167003631592,86.51,21627.5
could,3.6054847240448,86.92,21730.0
resist,4.53502321243286,87.12,21780.0
me,12.0137348175049,87.53,21882.5
so,9.20160579681397,87.66,21915.0
persist,13.6714630126953,87.88,21970.0
he,13.090669631958,88.62,22155.0
muttered,9.92677974700928,88.79,22197.5
The,3.73580980300903,89.74,22435.0
vine,6.49807119369507,89.88,22470.0
yard,4.49233198165894,90.27,22567.5
seemed,5.12237119674683,90.55,22637.5
to,1.96357762813568,90.72,22680.0
shift,11.5597267150879,91.06,22765.0
in,2.66676449775696,91.18,22795.0
the,3.12362861633301,91.25,22812.5
heat,9.17816638946533,91.98,22995.0
The,2.04591059684753,92.1,23025.0
shadows,9.14602470397949,92.54,23135.0
of,2.0332453250885,92.64,23160.0
the,0.528588593006134,92.74,23185.0
leaves,5.62507009506226,93.08,23270.0
casting,12.0402421951294,93.54,23385.0
fract,19.5641250610352,93.99,23497.5
patterns,4.74514293670654,94.48,23620.0
that,7.24635124206543,94.64,23660.0
dance,14.3994274139404,94.96,23740.0
and,5.3393292427063,95.12,23780.0
swirl,5.57888984680176,95.41,23852.5
around,2.75512409210205,95.75,23937.5
him,2.15606451034546,96.2,24050.0
as,5.8074426651001,96.48,24120.0
if,1.11795270442963,96.71,24177.5
the,3.7623701095581100,96.83,24207.5
entire,6.48382997512817,97.27,24317.5
landscape,3.53112769126892,97.8,24450.0
cons,11.6517019271851,98.41,24602.5
to,0.844261884689331,98.57,24642.5
humili,13.3235149383545,99.19,24797.5
him,0.368197768926621,100.24,25060.0
Finally,7.22770023345947,100.75,25187.5
the,3.74529433250427,100.89,25222.5
fox,1.19355428218842,101.29,25322.5
looked,5.60705995559692,101.5,25375.0
at,3.08330345153809,101.6,25400.0
the,0.700688600540161,101.7,25425.0
grapes,2.68116354942322,102.0,25500.0
inside,12.6868314743042,103.0,25750.0
He,3.08440566062927,103.14,25785.0
stood,8.24978542327881,103.44,25860.0
up,2.04749369621277,103.6,25900.0
and,1.90231347084045,103.73,25932.5
shook,7.952073097229,103.93,25982.5
his,1.07213127613068,104.09,26022.5
head,0.0339211672544479,104.91,26227.5
These,7.71393156051636,105.18,26295.0
grapes,2.13800239562988,105.54,26385.0
are,5.05338096618652,105.64,26410.0
probably,8.60818004608154,106.15,26537.5
sour,13.6368398666382,106.55,26637.5
anyway,13.5300855636597,107.19,26797.5
he,1.71612882614136,107.35,26837.5
said,5.00415945053101,108.16,27040.0
They,3.48872756958008,108.33,27082.5
aren,7.44051694869995,108.61,27152.5
worth,7.03511619567871,108.86,27215.0
my,6.20608901977539,108.98,27245.0
time,0.823472440242767,110.07,27517.5
He,3.11119532585144,110.37,27592.5
turned,5.00039291381836,110.65,27662.5
around,3.06610083580017,111.08,27770.0
and,1.2851642370224,111.2,27800.0
walked,3.39671540260315,111.44,27860.0
away,3.37453103065491,111.87,27967.5
leaving,3.36340141296387,112.22,28055.0
the,1.23689150810242,112.33,28082.5
grapes,3.5557804107666,112.69,28172.5
on,4.82174062728882,112.84,28210.0
the,0.30332687497139,112.91,28227.5
vine,3.44887804985046,114.03,28507.5
Though,9.15970325469971,114.21,28552.5
tired,11.1701698303223,114.65,28662.5
and,1.96975457668304,114.75,28687.5
hungry,2.66610765457153,115.13,28782.5
he,0.981797158718109,115.28,28820.0
held,8.15871524810791,115.49,28872.5
his,2.84641289710999,115.65,28912.5
head,5.5701174736023,115.84,28960.0
high,2.79832148551941,116.24,29060.0
as,3.41556239128113,116.38,29095.0
he,0.447399586439133,116.48,29120.0
walked,4.07109451293945,116.8,29200.0
back,3.72666001319885,117.04,29260.0
out,5.35849857330322,117.27,29317.5
the,3.44881272315979,117.36,29340.0
vine,3.57970881462097,118.4,29600.0
As,4.79739189147949,118.56,29640.0
he,0.304636120796204,118.66,29665.0
tro,9.8502082824707,119.04,29760.0
off,5.26189231872559,119.36,29840.0
his,3.90239953994751,119.65,29912.5
pride,10.5739860534668,119.98,29995.0
bruised,12.9113960266113,120.39,30097.5
but,8.35717582702637,120.53,30132.5
not,3.16776418685913,120.77,30192.5
shattered,5.81720447540283,121.48,30370.0
he,0.777823448181152,121.65,30412.5
couldn,7.4669361114502,121.93,30482.5
help,0.86063951253891,122.29,30572.5
but,0.372815519571304,122.46,30615.0
feel,3.12233257293701,122.66,30665.0
a,2.45030117034912,122.73,30682.5
p,6.74303388595581,123.19,30797.5
of,0.31713005900383,123.3,30825.0
une,6.93903875350952,124.54,31135.0
The,3.80411505699158,124.67,31167.5
grapes,6.63228130340576,125.12,31280.0
swayed,10.7248640060425,125.45,31362.5
gently,6.86673593521118,125.81,31452.5
in,2.96724200248718,125.91,31477.5
the,1.10286283493042,126.01,31502.5
breeze,2.10857200622559,126.72,31680.0
their,4.14364147186279,126.9,31725.0
movement,11.7481784820557,127.4,31850.0
e,11.6504344940186,127.85,31962.5
