Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
A,,150.0,Low
fox,16.4503173828125,175.0,
was,5.15307521820068,282.5,
walking,7.24704122543335,325.0,
through,4.04427909851074,432.5,
a,2.1816394329071,492.5,
vine,10.070671081543,500.0,
on,4.00733518600464,610.0,
a,2.33934426307678,645.0,
hot,5.07542753219605,655.0,
summer,1.27216589450836,730.0,
day,1.05183756351471,807.5,
His,5.08273410797119,1000.0,
stomach,9.16020679473877,1045.0,
grow,8.93110847473145,1165.0,
loudly,5.91330146789551,1275.0,
and,1.57419741153717,1427.5,
his,2.89994311332703,1462.5,
tongue,7.62022352218628,1500.0,
felt,7.83780527114868,1572.5,
dry,7.03137922286987,1630.0,
He,2.14322209358215,1822.5,
was,3.81376194953919,1860.0,
thirsty,7.2061972618103,1905.0,
and,3.22652244567871,2032.5,
hungry,2.89640522003174,2057.5,
looking,9.49148464202881,2202.5,
for,1.87754023075104,2280.0,
something,1.7314453125,2307.5,
to,0.843238592147827,2400.0,
eat,1.15541923046112,2422.5,
As,5.94050884246826,2660.0,
he,0.794022977352142,2702.5,
walked,3.37802720069885,2730.0,
he,1.33085751533508,2817.5,
saw,3.50556325912476,2862.5,
some,6.66323947906494,2917.5,
ripe,10.9120683670044,2977.5,
purple,11.0009346008301,3090.0,
grapes,5.7597393989563,3152.5,
hanging,5.80906820297241,3257.5,
from,1.37095367908478,3362.5,
a,1.67505443096161,3407.5,
vine,2.78116035461426,3425.0,
They,5.24364471435547,3630.0,
looked,4.24014329910278,3670.0,
big,8.965012550354,3732.5,
juicy,6.5855016708374,3832.5,
and,0.433169215917587,3942.5,
sweet,5.83303594589233,3982.5,
in,5.97507190704346,4077.5,
the,2.99731850624084,4117.5,
bright,7.46885681152344,4142.5,
sunlight,1.73374438285828,4227.5,
The,3.5091769695282,4490.0,
fox,4.25132751464844,4525.0,
l,9.76366138458252,4612.5,
his,1.34949672222137,4677.5,
lips,0.266374945640564,4727.5,
excited,10.1592121124268,4820.0,
by,4.40682554244995,4952.5,
the,0.490653067827225,4992.5,
sight,2.84591102600098,5022.5,
Ah,13.8058414459229,5255.0,
just,8.41308116912842,5340.0,
what,3.2691912651062,5427.5,
I,4.5184440612793,5457.5,
need,4.43362236022949,5482.5,
he,3.75519132614136,5545.0,
said,3.50091290473938,5587.5,
But,6.76766300201416,5777.5,High
as,5.88335084915161,5810.0,
he,0.529345214366913,5857.5,
approached,5.954176902771,5885.0,
the,1.3465793132782,6035.0,
grapes,3.51328825950623,6057.5,
he,1.15010070800781,6155.0,
realized,4.606614112854,6197.5,
they,3.31004548072815,6322.5,
