Word,Surprisal,Word_Onset,Word_Onset_Samples
It,0,2.052,513
was,5.30480051040649,2.116,529
a,2.68121480941772,2.196,549
sunny,11.2811374664307,2.228,557
day,1.18229067325592,2.3600000000000000,590
The,3.12193632125855,2.704,676
grass,8.89520263671875,2.756,689
sat,7.71456241607666,2.984,746
on,1.94867086410522,3.092,773
the,1.0484801530838,3.148,787
grass,2.95626616477966,3.184,796
What,9.30474090576172,3.54,885
a,3.02160716056824,3.616,904
nice,4.19086027145386,3.636,909
day,1.99506652355194,3.748,937
he,7.65505981445313,3.824,956
said,8.79169368743897,3.888,972
The,3.83096051216126,4.172,1043
sun,4.52428293228149,4.216000000000000,1054
is,6.65103006362915,4.3,1075
shining,2.81340909004211,4.36,1090
and,4.69003295898438,4.536,1134
there,5.23088645935059,4.58,1145
lots,7.24744033813477,4.644,1161
of,0.108743779361248,4.768,1192
grass,4.51019334793091,4.808,1202
to,4.38635206222534,4.944,1236
eat,4.44955348968506,4.976,1244
The,3.13923907279968,5.444,1361
grass,3.21004128456116,5.496,1374
gob,12.0542182922363,5.748000000000000,1437
leaf,15.2735166549683,5.936,1484
after,3.86844182014465,6.036,1509
leaf,0.0086158337071537,6.16,1540
stuffing,10.9629669189453,6.408,1602
himself,5.69100999832153,6.5920000000000000,1648
until,7.93281984329224,6.772,1693
he,1.38382399082184,6.872,1718
collapsed,9.76818943023682,6.928,1732
backward,12.4751892089844,7.128,1782
whe,12.2451038360596,7.428,1857
That,7.33782005310059,7.9,1975
plenty,13.5547409057617,8.004000000000000,2001
he,2.04067826271057,8.18,2045
gro,11.9658136367798,8.26,2065
clutching,8.27266788482666,8.5,2125
his,0.91753751039505,8.648,2162
full,12.4294319152832,8.72,2180
belly,6.98679351806641,8.816000000000000,2204
Now,8.44374847412109,9.276,2319
time,11.4699020385742,9.436,2359
for,2.66445016860962,9.548,2387
a,2.67129755020142,9.592,2398
little,4.00197458267212,9.64,2410
concert,14.3660020828247,9.744,2436
He,3.34591412544251,10.372,2593
rubbed,10.0441751480103,10.424,2606
his,0.589407444000244,10.524,2631
legs,6.73065090179443,10.592,2648
and,2.40336894989014,10.748,2687
made,7.77696371078491,10.792,2698
a,2.75787973403931,10.856,2714
quiet,8.51387214660645,10.896,2724
buzzing,11.0881080627441,11.06,2765
sound,1.01631915569305,11.192,2798
Sounds,11.851658821106,11.576,2894
good,6.70250225067139,11.744,2936
he,1.33583831787109,11.828,2957
said,5.78955841064453,11.896,2974
perfect,13.8255300521851,12.08,3020
for,2.15257906913757,12.24,3060
a,1.9262603521347,12.336,3084
sunny,9.77843570709228,12.34,3085
day,0.365991532802582,12.476,3119
The,3.23365759849548,12.892,3223
sound,6.26338529586792,12.948,3237
drifted,9.68393898010254,13.2,3300
gently,9.61047744750977,13.368,3342
through,3.92157340049744,13.528,3382
the,0.331219434738159,13.584,3396
air,3.63917207717896,13.644,3411
Enough,14.1176452636719,14.412,3603
snapped,18.0495433807373,14.588,3647
an,9.4215497970581,14.748,3687
ant,8.79800128936768,14.788,3697
ha,12.3995742797852,14.992,3748
a,3.8688371181488,15.18,3795
corn,11.8977022171021,15.216,3804
kernel,11.4408683776855,15.368,3842
twice,14.1046295166016,15.532,3883
his,3.48419690132141,15.652,3913
size,0.64585268497467,15.716,3929
Some,8.88621520996094,16.108,4027
of,2.95427942276001,16.216,4054
us,7.80922365188599,16.264,4066
are,6.50486135482788,16.36,4090
working,9.58529090881348,16.408,4102
The,2.94929885864258,16.988,4247
grass,4.79537725448608,17.04,4260
didn,7.69792413711548,17.276,4319
even,4.7666482925415,17.364000000000000,4341
blink,6.06823873519898,17.516,4379
He,1.69146203994751,17.824,4456
grinned,9.07921695709228,17.912,4478
wide,10.3049449920654,18.156,4539
and,4.7774338722229,18.364,4591
wild,7.29862117767334,18.416,4604
shrunk,16.8652877807617,18.672,4668
in,4.84090232849121,18.716,4679
summer,16.4506816864014,18.812,4703
What,7.51878213882446,18.888,4722
you,5.51195287704468,19.352,4838
don,4.76003456115723,19.516,4879
like,3.43250823020935,19.568,4892
music,9.65874671936035,19.636000000000000,4909
I,4.82105827331543,19.712,4928
don,3.48197031021118,20.312,5078
said,9.43059730529785,20.34,5085
the,1.20695471763611,20.384,5096
ant,3.82570552825928,20.516,5129
I,2.89179372787476,20.62,5155
busy,8.4493408203125,20.648,5162
The,3.33470749855042,20.96,5240
grass,0.948326408863068,21.04,5260
blinked,8.79438209533691,21.512,5378
You,6.52169275283814,21.552,5388
working,5.71737766265869,21.776,5444
now,5.62155055999756,22.136000000000000,5534
The,3.64360237121582,22.212,5553
ant,2.20612120628357,22.352,5588
nodded,5.12071180343628,22.608,5652
It,4.61954021453857,22.656,5664
getting,6.58345746994019,22.788,5697
food,12.5772094726563,23.104,5776
he,1.03063011169434,23.16,5790
said,1.07035028934479,23.208,5802
The,2.99968528747559,23.312,5828
grass,0.592563807964325,23.444,5861
watched,8.14773273468018,23.496,5874
as,3.02438640594482,24.008000000000000,6002
the,0.869094133377075,24.052,6013
ant,1.71877479553223,24.316,6079
dragged,8.86544036865234,24.48,6120
a,2.58743333816528,24.536,6134
massive,10.3669900894165,24.584,6146
ear,14.4113607406616,24.744,6186
of,5.37595891952515,24.892,6223
corn,1.05094146728516,24.928,6232
across,5.24850082397461,25.1,6275
the,0.702133119106293,25.192,6298
dirt,7.38098478317261,25.232,6308
That,6.36431646347046,25.384,6346
looks,9.6952714920044,25.536,6384
exhausting,13.551589012146,25.58,6395
he,0.623490512371063,26.004,6501
said,1.60444521903992,26.092,6523
Yeah,10.1905088424683,26.172000000000000,6543
it,2.85705351829529,26.416000000000000,6604
hard,4.90111780166626,26.468,6617
the,5.1794548034668,26.896,6724
ant,2.11911725997925,27.044,6761
p,10.9009685516357,27.076,6769
Why,7.27540397644043,27.228,6807
