Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
It,,513.0,Low
was,5.30480051040649,529.0,
a,2.68121480941772,549.0,
sunny,11.2811374664307,557.0,
day,1.18229067325592,590.0,
The,3.12193632125855,676.0,
grass,8.89520263671875,689.0,
sat,7.71456241607666,746.0,
on,1.94867086410522,773.0,
the,1.0484801530838,787.0,
grass,2.95626616477966,796.0,
What,9.30474090576172,885.0,
a,3.02160716056824,904.0,
nice,4.19086027145386,909.0,
day,1.99506652355194,937.0,
he,7.65505981445313,956.0,
said,8.79169368743897,972.0,
The,3.83096051216126,1043.0,
sun,4.52428293228149,1054.0,
is,6.65103006362915,1075.0,
shining,2.81340909004211,1090.0,
and,4.69003295898438,1134.0,
there,5.23088645935059,1145.0,
lots,7.24744033813477,1161.0,
of,0.108743779361248,1192.0,
grass,4.51019334793091,1202.0,
to,4.38635206222534,1236.0,
eat,4.44955348968506,1244.0,
The,3.13923907279968,1361.0,High
grass,3.21004128456116,1374.0,
gob,12.0542182922363,1437.0,
leaf,15.2735166549683,1484.0,
after,3.86844182014465,1509.0,
leaf,0.0086158337071537,1540.0,
stuffing,10.9629669189453,1602.0,
himself,5.69100999832153,1648.0,
until,7.93281984329224,1693.0,
he,1.38382399082184,1718.0,
collapsed,9.76818943023682,1732.0,
backward,12.4751892089844,1782.0,
whe,12.2451038360596,1857.0,
That,7.33782005310059,1975.0,
plenty,13.5547409057617,2001.0,
he,2.04067826271057,2045.0,
gro,11.9658136367798,2065.0,
clutching,8.27266788482666,2125.0,
his,0.91753751039505,2162.0,
full,12.4294319152832,2180.0,
belly,6.98679351806641,2204.0,
Now,8.44374847412109,2319.0,
time,11.4699020385742,2359.0,
for,2.66445016860962,2387.0,
a,2.67129755020142,2398.0,
little,4.00197458267212,2410.0,
concert,14.3660020828247,2436.0,
He,3.34591412544251,2593.0,Low
rubbed,10.0441751480103,2606.0,
his,0.589407444000244,2631.0,
legs,6.73065090179443,2648.0,
and,2.40336894989014,2687.0,
made,7.77696371078491,2698.0,
a,2.75787973403931,2714.0,
quiet,8.51387214660645,2724.0,
buzzing,11.0881080627441,2765.0,
sound,1.01631915569305,2798.0,
Sounds,11.851658821106,2894.0,
good,6.70250225067139,2936.0,
he,1.33583831787109,2957.0,
said,5.78955841064453,2974.0,
perfect,13.8255300521851,3020.0,
for,2.15257906913757,3060.0,
a,1.9262603521347,3084.0,
sunny,9.77843570709228,3085.0,
day,0.365991532802582,3119.0,
The,3.23365759849548,3223.0,
sound,6.26338529586792,3237.0,
drifted,9.68393898010254,3300.0,
gently,9.61047744750977,3342.0,
through,3.92157340049744,3382.0,
the,0.331219434738159,3396.0,
air,3.63917207717896,3411.0,
Enough,14.1176452636719,3603.0,High
snapped,18.0495433807373,3647.0,
an,9.4215497970581,3687.0,
ant,8.79800128936768,3697.0,
ha,12.3995742797852,3748.0,
a,3.8688371181488,3795.0,
corn,11.8977022171021,3804.0,
kernel,11.4408683776855,3842.0,
twice,14.1046295166016,3883.0,
his,3.48419690132141,3913.0,
size,0.64585268497467,3929.0,
Some,8.88621520996094,4027.0,
of,2.95427942276001,4054.0,
us,7.80922365188599,4066.0,
are,6.50486135482788,4090.0,
working,9.58529090881348,4102.0,
The,2.94929885864258,4247.0,
grass,4.79537725448608,4260.0,
didn,7.69792413711548,4319.0,
even,4.7666482925415,4341.0,
blink,6.06823873519898,4379.0,
He,1.69146203994751,4456.0,
grinned,9.07921695709228,4478.0,
wide,10.3049449920654,4539.0,
and,4.7774338722229,4591.0,
wild,7.29862117767334,4604.0,
shrunk,16.8652877807617,4668.0,
in,4.84090232849121,4679.0,
summer,16.4506816864014,4703.0,
What,7.51878213882446,4722.0,
you,5.51195287704468,4838.0,
don,4.76003456115723,4879.0,
like,3.43250823020935,4892.0,
music,9.65874671936035,4909.0,
I,4.82105827331543,4928.0,Low
don,3.48197031021118,5078.0,
said,9.43059730529785,5085.0,
the,1.20695471763611,5096.0,
ant,3.82570552825928,5129.0,
I,2.89179372787476,5155.0,
busy,8.4493408203125,5162.0,
The,3.33470749855042,5240.0,
grass,0.948326408863068,5260.0,
blinked,8.79438209533691,5378.0,
You,6.52169275283814,5388.0,
working,5.71737766265869,5444.0,
now,5.62155055999756,5534.0,
The,3.64360237121582,5553.0,
ant,2.20612120628357,5588.0,
nodded,5.12071180343628,5652.0,
It,4.61954021453857,5664.0,
getting,6.58345746994019,5697.0,
food,12.5772094726563,5776.0,
he,1.03063011169434,5790.0,
said,1.07035028934479,5802.0,
The,2.99968528747559,5828.0,High
grass,0.592563807964325,5861.0,
