Word,Surprisal,Word_Onset,Word_Onset_Samples
It,0,5.13,1282.5
was,5.30480051040649,5.29,1322.5
a,2.68121480941772,5.49,1372.5
sunny,11.2811374664307,5.57,1392.5
day,1.18229067325592,5.9,1475.0
The,3.12193632125855,6.76,1690.0
grass,8.89520263671875,6.89,1722.5
sat,7.71456241607666,7.46,1865.0
on,1.94867086410522,7.73,1932.5
the,1.0484801530838,7.87,1967.5
grass,2.95626616477966,7.96,1990.0
What,9.30474090576172,8.85,2212.5
a,3.02160716056824,9.04,2260.0
nice,4.19086027145386,9.09,2272.5
day,1.99506652355194,9.37,2342.5
he,7.65505981445313,9.56,2390.0
said,8.79169368743897,9.72,2430.0
The,3.83096051216126,10.43,2607.5
sun,4.52428293228149,10.54,2635.0
is,6.65103006362915,10.75,2687.5
shining,2.81340909004211,10.9,2725.0
and,4.69003295898438,11.34,2835.0
there,5.23088645935059,11.45,2862.5
lots,7.24744033813477,11.61,2902.5
of,0.108743779361248,11.92,2980.0
grass,4.51019334793091,12.02,3005.0
to,4.38635206222534,12.36,3090.0
eat,4.44955348968506,12.44,3110.0
The,3.13923907279968,13.61,3402.5
grass,3.21004128456116,13.74,3435.0
gob,12.0542182922363,14.37,3592.5
leaf,15.2735166549683,14.84,3710.0
after,3.86844182014465,15.09,3772.5
leaf,0.0086158337071537,15.4,3850.0
stuffing,10.9629669189453,16.02,4005.0
himself,5.69100999832153,16.48,4120.0
until,7.93281984329224,16.93,4232.5
he,1.38382399082184,17.18,4295.0
collapsed,9.76818943023682,17.32,4330.0
backward,12.4751892089844,17.82,4455.0
whe,12.2451038360596,18.57,4642.5
That,7.33782005310059,19.75,4937.5
plenty,13.5547409057617,20.01,5002.5
he,2.04067826271057,20.45,5112.5
gro,11.9658136367798,20.65,5162.5
clutching,8.27266788482666,21.25,5312.5
his,0.91753751039505,21.62,5405.0
full,12.4294319152832,21.8,5450.0
belly,6.98679351806641,22.04,5510.0
Now,8.44374847412109,23.19,5797.5
time,11.4699020385742,23.59,5897.5
for,2.66445016860962,23.87,5967.5
a,2.67129755020142,23.98,5995.0
little,4.00197458267212,24.1,6025.0
concert,14.3660020828247,24.36,6090.0
He,3.34591412544251,25.93,6482.5
rubbed,10.0441751480103,26.06,6515.0
his,0.589407444000244,26.31,6577.5
legs,6.73065090179443,26.48,6620.0
and,2.40336894989014,26.87,6717.5
made,7.77696371078491,26.98,6745.0
a,2.75787973403931,27.14,6785.0
quiet,8.51387214660645,27.24,6810.0
buzzing,11.0881080627441,27.65,6912.5
sound,1.01631915569305,27.98,6995.0
Sounds,11.851658821106,28.94,7235.0
good,6.70250225067139,29.36,7340.0
he,1.33583831787109,29.57,7392.5
said,5.78955841064453,29.74,7435.0
perfect,13.8255300521851,30.2,7550.0
for,2.15257906913757,30.6,7650.0
a,1.9262603521347,30.84,7710.0
sunny,9.77843570709228,30.85,7712.5
day,0.365991532802582,31.19,7797.5
The,3.23365759849548,32.23,8057.5
sound,6.26338529586792,32.37,8092.5
drifted,9.68393898010254,33.0,8250.0
gently,9.61047744750977,33.42,8355.0
through,3.92157340049744,33.82,8455.0
the,0.331219434738159,33.96,8490.0
air,3.63917207717896,34.11,8527.5
Enough,14.1176452636719,36.03,9007.5
