Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
It,,1282.5,Low
was,5.30480051040649,1322.5,
a,2.68121480941772,1372.5,
sunny,11.2811374664307,1392.5,
day,1.18229067325592,1475.0,
The,3.12193632125855,1690.0,
grass,8.89520263671875,1722.5,
sat,7.71456241607666,1865.0,
on,1.94867086410522,1932.5,
the,1.0484801530838,1967.5,
grass,2.95626616477966,1990.0,
What,9.30474090576172,2212.5,
a,3.02160716056824,2260.0,
nice,4.19086027145386,2272.5,
day,1.99506652355194,2342.5,
he,7.65505981445313,2390.0,
said,8.79169368743897,2430.0,
The,3.83096051216126,2607.5,
sun,4.52428293228149,2635.0,
is,6.65103006362915,2687.5,
shining,2.81340909004211,2725.0,
and,4.69003295898438,2835.0,
there,5.23088645935059,2862.5,
lots,7.24744033813477,2902.5,
of,0.108743779361248,2980.0,
grass,4.51019334793091,3005.0,
to,4.38635206222534,3090.0,
eat,4.44955348968506,3110.0,
The,3.13923907279968,3402.5,High
grass,3.21004128456116,3435.0,
gob,12.0542182922363,3592.5,
leaf,15.2735166549683,3710.0,
after,3.86844182014465,3772.5,
leaf,0.0086158337071537,3850.0,
stuffing,10.9629669189453,4005.0,
himself,5.69100999832153,4120.0,
until,7.93281984329224,4232.5,
he,1.38382399082184,4295.0,
collapsed,9.76818943023682,4330.0,
backward,12.4751892089844,4455.0,
whe,12.2451038360596,4642.5,
That,7.33782005310059,4937.5,
plenty,13.5547409057617,5002.5,
he,2.04067826271057,5112.5,
gro,11.9658136367798,5162.5,
clutching,8.27266788482666,5312.5,
his,0.91753751039505,5405.0,
full,12.4294319152832,5450.0,
belly,6.98679351806641,5510.0,
Now,8.44374847412109,5797.5,
time,11.4699020385742,5897.5,
for,2.66445016860962,5967.5,
a,2.67129755020142,5995.0,
little,4.00197458267212,6025.0,
concert,14.3660020828247,6090.0,
He,3.34591412544251,6482.5,Low
rubbed,10.0441751480103,6515.0,
his,0.589407444000244,6577.5,
legs,6.73065090179443,6620.0,
and,2.40336894989014,6717.5,
made,7.77696371078491,6745.0,
a,2.75787973403931,6785.0,
quiet,8.51387214660645,6810.0,
buzzing,11.0881080627441,6912.5,
sound,1.01631915569305,6995.0,
Sounds,11.851658821106,7235.0,
good,6.70250225067139,7340.0,
he,1.33583831787109,7392.5,
said,5.78955841064453,7435.0,
perfect,13.8255300521851,7550.0,
for,2.15257906913757,7650.0,
a,1.9262603521347,7710.0,
sunny,9.77843570709228,7712.5,
day,0.365991532802582,7797.5,
The,3.23365759849548,8057.5,
sound,6.26338529586792,8092.5,
drifted,9.68393898010254,8250.0,
gently,9.61047744750977,8355.0,
through,3.92157340049744,8455.0,
the,0.331219434738159,8490.0,
air,3.63917207717896,8527.5,
Enough,14.1176452636719,9007.5,High
snapped,18.0495433807373,9117.5,
an,9.4215497970581,9217.5,
ant,8.79800128936768,9242.5,
ha,12.3995742797852,9370.0,
a,3.8688371181488,9487.5,
corn,11.8977022171021,9510.0,
kernel,11.4408683776855,9605.0,
twice,14.1046295166016,9707.5,
his,3.48419690132141,9782.5,
size,0.64585268497467,9822.5,
Some,8.88621520996094,10067.5,
of,2.95427942276001,10135.0,
us,7.80922365188599,10165.0,
are,6.50486135482788,10225.0,
working,9.58529090881348,10255.0,
The,2.94929885864258,10617.5,
grass,4.79537725448608,10650.0,
didn,7.69792413711548,10797.5,
even,4.7666482925415,10852.5,
blink,6.06823873519898,10947.5,
He,1.69146203994751,11140.0,
grinned,9.07921695709228,11195.0,
wide,10.3049449920654,11347.5,
and,4.7774338722229,11477.5,
wild,7.29862117767334,11510.0,
shrunk,16.8652877807617,11670.0,
in,4.84090232849121,11697.5,
summer,16.4506816864014,11757.5,
What,7.51878213882446,11805.0,
you,5.51195287704468,12095.0,
don,4.76003456115723,12197.5,
like,3.43250823020935,12230.0,
music,9.65874671936035,12272.5,
I,4.82105827331543,12320.0,Low
don,3.48197031021118,12695.0,
said,9.43059730529785,12712.5,
the,1.20695471763611,12740.0,
ant,3.82570552825928,12822.5,
I,2.89179372787476,12887.5,
busy,8.4493408203125,12905.0,
The,3.33470749855042,13100.0,
grass,0.948326408863068,13150.0,
blinked,8.79438209533691,13445.0,
You,6.52169275283814,13470.0,
working,5.71737766265869,13610.0,
now,5.62155055999756,13835.0,
The,3.64360237121582,13882.5,
ant,2.20612120628357,13970.0,
nodded,5.12071180343628,14130.0,
It,4.61954021453857,14160.0,
getting,6.58345746994019,14242.5,
food,12.5772094726563,14440.0,
he,1.03063011169434,14475.0,
said,1.07035028934479,14505.0,
The,2.99968528747559,14570.0,High
grass,0.592563807964325,14652.5,
watched,8.14773273468018,14685.0,
as,3.02438640594482,15005.0,
the,0.869094133377075,15032.5,
ant,1.71877479553223,15197.5,
dragged,8.86544036865234,15300.0,
a,2.58743333816528,15335.0,
massive,10.3669900894165,15365.0,
ear,14.4113607406616,15465.0,
of,5.37595891952515,15557.5,
corn,1.05094146728516,15580.0,
across,5.24850082397461,15687.5,
the,0.702133119106293,15745.0,
dirt,7.38098478317261,15770.0,
That,6.36431646347046,15865.0,
looks,9.6952714920044,15960.0,
exhausting,13.551589012146,15987.5,
he,0.623490512371063,16252.5,
said,1.60444521903992,16307.5,
Yeah,10.1905088424683,16357.5,
it,2.85705351829529,16510.0,
hard,4.90111780166626,16542.5,
the,5.1794548034668,16810.0,
ant,2.11911725997925,16902.5,
p,10.9009685516357,16922.5,
Why,7.27540397644043,17017.5,Low
are,3.6584575176239,17040.0,
you,0.239768207073212,17127.5,
doing,2.84115982055664,17412.5,
it,2.74101614952087,17487.5,
said,5.21785545349121,17492.5,
the,0.0799028649926185,17532.5,
grass,1.51496767997742,17615.0,
It,4.45268249511719,17645.0,
for,8.57955169677734,17692.5,
winter,11.8966836929321,17715.0,
the,4.41457939147949,17990.0,
ant,0.871733844280243,18040.0,
said,1.23304831981659,18075.0,
We,4.89379167556763,18215.0,
need,3.83681654930115,18232.5,
food,4.29245758056641,18310.0,
later,7.95814847946167,18535.0,
so,8.03137683868408,18575.0,
we,1.14871668815613,18647.5,
get,5.5949592590332,18717.5,
it,4.7584753036499,18812.5,
now,5.68733787536621,18855.0,
The,1.65460813045502,18887.5,
grass,0.700549364089966,18922.5,
smiled,5.36987781524658,18952.5,
but,5.96346139907837,19252.5,
winter,19.6199035644531,19310.0,
is,2.32698965072632,19457.5,
far,7.02812051773071,19690.0,
away,0.713224768638611,19732.5,
Why,6.45734167098999,19807.5,
worry,10.4541664123535,19840.0,
The,2.44956374168396,19895.0,High
grass,1.65131068229675,20075.0,
scoff,8.33917236328125,20140.0,
Summers,18.9195957183838,20545.0,
here,9.11748027801514,20580.0,
Many,10.9982805252075,20722.5,
grass,11.1917209625244,20907.5,
eat,6.98155021667481,21020.0,
relax,13.579137802124,21245.0,
and,2.70139479637146,21287.5,
make,6.92190790176392,21460.0,
music,6.92954206466675,21550.0,
It,4.47143793106079,21712.5,
a,3.3847668170929,21742.5,
great,4.54498481750488,21800.0,
life,6.83818674087524,21980.0,
The,2.20960116386414,22032.5,
ant,2.79922437667847,22050.0,
frowned,7.10161876678467,22117.5,
Enjoy,13.2342576980591,22325.0,
it,2.53491234779358,22352.5,
while,8.36614036560059,22425.0,
it,1.71218180656433,22640.0,
lasts,0.303412735462189,22740.0,
He,3.58914375305176,22772.5,
muttered,10.5805063247681,22820.0,
walking,9.60713863372803,22842.5,
off,5.35729265213013,23055.0,
Stay,10.9113025665283,23097.5,Low
a,6.80719566345215,23265.0,
bit,4.53825426101685,23362.5,
the,3.53817915916443,23672.5,
grass,0.546716094017029,23757.5,
said,0.56022047996521,23765.0,
Let,6.99550294876099,23825.0,
enjoy,7.5204930305481,23847.5,
the,1.92146515846252,23985.0,
sun,4.28742504119873,24160.0,
The,1.79241549968719,24217.5,
ant,2.28698897361755,24285.0,
shook,6.18698215484619,24310.0,
his,0.153498366475105,24722.5,
head,0.0174216534942388,24747.5,
I,3.80370831489563,24820.0,
have,6.12454700469971,24870.0,
work,8.28441524505615,24910.0,
He,2.23259854316711,25100.0,
carried,11.5486736297607,25132.5,
the,2.51006317138672,25192.5,
corn,0.653024196624756,25462.5,
across,7.44488954544067,25510.0,
the,0.406643867492676,25612.5,
field,4.81659078598023,25635.0,
leaving,5.88833713531494,25715.0,
the,1.51911425590515,25812.5,
grass,2.52270579338074,25837.5,
alone,2.72078275680542,26000.0,
The,2.18091583251953,26082.5,High
grass,0.98456746339798,26107.5,
smir,9.79512786865234,26255.0,
S,10.1442708969116,26550.0,
ant,6.3956241607666,26577.5,
wasting,12.4391489028931,26712.5,
such,11.9289722442627,26932.5,
a,0.809845745563507,27045.0,
beautiful,6.435289859771730,27195.0,
day,1.28342044353485,27287.5,
I,3.69008493423462,27340.0,
have,5.07529306411743,27352.5,
sunshine,15.8464069366455,27457.5,
food,13.7421674728394,27702.5,
and,1.63512301445007,27737.5,
music,4.665283203125,27782.5,
he,0.594797372817993,27945.0,
laughed,7.05396795272827,28057.5,
rubbing,8.05286979675293,28102.5,
his,0.335803180932999,28232.5,
legs,3.55924725532532,28277.5,
together,6.87614297866821,28417.5,
filling,9.41065216064453,28492.5,
the,3.00406908988953,28530.0,
air,1.79799616336823,28592.5,
with,0.551306784152985,28772.5,
his,2.408198595047,28852.5,
buzzing,11.1717948913574,28885.0,
tune,11.5127506256104,28960.0,
The,2.28414344787598,28990.0,Low
days,13.8841314315796,29030.0,
got,7.19966506958008,29112.5,
colder,6.29555749893189,29440.0,
The,1.59470784664154,29470.0,
grass,0.809665858745575,29547.5,
stayed,9.35769462585449,29610.0,
in,3.7057831287384,29815.0,
one,6.88426160812378,29842.5,
place,1.68834853172302,29992.5,
feeling,8.25211524963379,30092.5,
cold,6.06795930862427,30127.5,
and,1.66542732715607,30175.0,
hungry,5.44386672973633,30300.0,
There,6.7415452003479,30400.0,
was,0.888905048370361,30510.0,
not,7.71466493606567,30537.5,
much,0.899458408355713,30840.0,
food,3.384681224823,30880.0,
The,1.62000346183777,30917.5,
fields,12.9328985214233,30972.5,
were,1.14310586452484,31027.5,
empty,4.14756631851196,31242.5,
Then,8.51266098022461,31277.5,
he,2.09939360618591,31377.5,
saw,4.85080099105835,31417.5,
the,1.5621577501297,31655.0,
ant,3.9511399269104,31707.5,
Hey,12.0397777557373,31742.5,High
best,14.4119052886963,31800.0,
he,1.07891774177551,31817.5,
whispered,7.78872871398926,32132.5,
trembling,11.5371427536011,32190.0,
like,6.86402273178101,32295.0,
a,0.489157319068909,32340.0,
leaf,7.41108465194702,32535.0,
caught,8.41420078277588,32652.5,
in,0.887724816799164,32707.5,
a,0.907092154026032,32737.5,
storm,5.45853710174561,32807.5,
Do,9.65678119659424,32887.5,
you,0.537721395492554,32915.0,
recall,10.8290281295776,32932.5,
who,7.50441217422485,33195.0,
I,3.34856986999512,33222.5,
am,0.596081435680389,33270.0,
The,1.71675837039948,33380.0,
ant,3.22276711463928,33407.5,
eyes,1.90969252586365,33437.5,
f,6.40399694442749,33700.0,
once,7.56150341033936,33735.0,
then,2.44212079048157,33835.0,
nodded,8.78084754943848,33905.0,
slowly,5.5615291595459,33995.0,
Chill,15.1639175415039,34142.5,
bites,16.3317604064941,34210.0,
deep,10.4062795639038,34290.0,
tonight,13.3720254898071,34597.5,
doesn,11.9174699783325,34700.0,
it,0.569695472717285,34787.5,
The,1.50285661220551,34852.5,
grass,0.496385961771011,34962.5,
gave,7.08459758758545,35042.5,
a,1.50122654438019,35222.5,
sharp,7.64059257507324,35252.5,
nod,4.38979530334473,35390.0,
We,5.09073305130005,35427.5,Low
have,4.28400039672852,35447.5,
food,5.57048034667969,35535.0,
said,7.73715114593506,35860.0,
the,0.150204375386238,35910.0,
ant,0.779572129249573,35965.0,
We,2.95204925537109,36045.0,
saved,12.8639192581177,36090.0,
it,4.97428703308106,36110.0,
The,1.64775145053864,36262.5,
grass,0.555675446987152,36295.0,
looked,4.79927539825439,36387.5,
at,1.57252967357636,36500.0,
him,3.29487180709839,36535.0,
Could,9.08485507965088,36680.0,
you,1.7196546792984,36737.5,
share,8.83037090301514,36760.0,
just,10.2513074874878,36940.0,
a,1.5887953042984,36980.0,
little,1.08696031570435,37010.0,
He,2.23900890350342,37115.0,
looked,4.37371921539307,37182.5,
not,12.5811624526978,37197.5,
just,6.81184959411621,37387.5,
hungry,5.27424955368042,37432.5,
but,0.382248133420944,37497.5,
hopeful,10.8529567718506,37557.5,
He,2.77600288391113,37610.0,High
stood,7.96346044540405,37760.0,
still,5.23701906204224,37807.5,
gaze,11.6279563903809,38122.5,
locked,6.57283544540405,38160.0,
as,6.35317659378052,38230.0,
if,1.31826114654541,38385.0,
waiting,3.96431040763855,38490.0,
for,0.615390956401825,38587.5,
warmth,9.70845794677734,38647.5,
in,5.55116319656372,38682.5,
the,0.835058331489563,38777.5,
ant,10.9230442047119,38825.0,
voice,8.07675361633301,38940.0,
Minutes,14.3745193481445,38970.0,
passed,1.21734619140625,38980.0,
like,8.85454750061035,39085.0,
hours,3.01304411888123,39402.5,
You,8.67106437683106,39502.5,
once,13.1440534591675,39597.5,
called,7.5343122482299800,39642.5,
me,1.04445362091064,39917.5,
foolish,12.7036828994751,39957.5,
said,3.23989796638489,40017.5,
the,0.154958367347717,40075.0,
ant,1.06027901172638,40107.5,
I,2.23538661003113,40255.0,
didn,5.34830093383789,40310.0,
mean,3.9797768592834500,40335.0,
it,2.4774751663208,40527.5,
the,6.08292102813721,40555.0,
grass,0.200245186686516,40630.0,
blur,12.1798210144043,40677.5,
Just,7.67991876602173,40717.5,
a,3.35274267196655,40742.5,
joke,6.22280025482178,40877.5,
The,2.17321157455444,41050.0,
ant,3.05119585990906,41115.0,
didn,6.82921838760376,41135.0,
smile,5.41678667068482,41392.5,
If,8.30611515045166,41410.0,Low
you,1.25450170040131,41497.5,
save,12.2625036239624,41582.5,
some,6.29567956924439,41925.0,
food,1.6795768737793,41985.0,
now,6.35673952102661,42032.5,
you,2.13833808898926,42120.0,
won,4.7803373336792,42170.0,
be,2.51889204978943,42240.0,
hungry,1.72102224826813,42330.0,
later,5.99053239822388,42370.0,
when,8.72772407531738,42425.0,
it,4.04105138778687,42452.5,
cold,2.70331501960754,42532.5,
the,3.17467713356018,42617.5,
ant,4.7316370010376,42645.0,
said,0.57882559299469,42685.0,
The,3.29578256607056,42775.0,
grass,0.147819310426712,42785.0,
spent,11.2473421096802,42860.0,
the,1.23994147777557,43130.0,
whole,5.98307418823242,43157.5,
summer,8.53610801696777,43297.5,
singing,8.71304035186768,43380.0,
and,3.62491226196289,43402.5,
playing,3.22728848457336,43475.0,
but,5.43217134475708,43557.5,
didn,6.26126480102539,43655.0,
save,11.4432201385498,43680.0,
any,3.04270935058594,43767.5,
food,0.936323404312134,43805.0,
Now,6.31314611434937,43877.5,
when,4.63255167007446,43932.5,
winter,6.48498296737671,43980.0,
came,5.51566028594971,44247.5,
he,1.76980304718018,44352.5,
had,5.42944049835205,44407.5,
nothing,6.69500780105591,44480.0,
to,1.68099689483643,44685.0,
eat,1.13124561309814,44725.0,
