Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
The,,181.0,Low
mice,15.4795,191.0,
on,6.9533,223.0,
the,1.0602,233.0,
farm,9.6725,240.0,
were,2.1896,274.0,
happy,10.3031,285.0,
There,6.7524,385.0,
was,0.9265,401.0,
a,2.6185,415.0,
cat,11.723,423.0,
but,8.0632,463.0,
he,5.0716,474.0,
was,1.6366,486.0,
very,5.3764,502.0,
old,7.6844,533.0,
He,1.8235,613.0,
did,6.0082,627.0,
not,0.4182,641.0,
chase,11.5434,665.0,
mice,8.0572,691.0,
anymore,6.4989,718.0,
Most,9.3991,834.0,
days,6.5305,874.0,
he,0.9727,910.0,
just,4.6606,921.0,
lay,6.7181,944.0,
in,3.6466,963.0,
the,1.3018,973.0,
sun,6.3587,982.0,
C,12.0073,1101.0,
mice,2.0565,1131.0,
is,2.6051,1156.0,
too,8.9278,1166.0,
much,2.6955,1180.0,
work,2.5703,1198.0,
he,10.3117,1222.0,
would,6.8168,1235.0,
say,3.4061,1250.0,
I,4.8697,1317.0,
would,4.3506,1335.0,
rather,7.7641,1349.0,
sleep,7.0897,1378.0,
Then,6.6207,1504.0,High
everything,10.5534,1540.0,
changed,3.3167,1588.0,
One,6.8862,1709.0,
morning,4.3695,1731.0,
the,4.3999,1771.0,
farmer,5.8993,1781.0,
came,2.3369,1820.0,
carrying,10.5746,1855.0,
a,0.9683,1898.0,
strange,9.545,1904.0,
wood,11.1224,1944.0,
box,6.7541,1972.0,
He,2.0177,2062.0,
set,8.9023,2077.0,
it,0.5951,2096.0,
down,3.7637,2109.0,
slowly,12.0107,2134.0,
The,2.9992,2260.0,
mice,3.1396,2270.0,
froze,8.578,2296.0,
as,6.9703,2335.0,
the,3.1677,2352.0,
lid,8.4062,2362.0,
cre,8.4483,2390.0,
open,1.8159,2424.0,
and,2.9367,2478.0,
out,8.4368,2494.0,
stepped,8.1557,2519.0,
a,1.479,2549.0,
sleek,13.2044,2558.0,
shadow,11.7898,2603.0,
black,14.3138,2644.0,
cat,7.7513,2689.0,
with,4.1496,2722.0,
eyes,6.2341,2737.0,
like,3.0804,2779.0,
burning,11.3613,2802.0,
yellow,10.0204,2835.0,
fire,3.8649,2864.0,
and,6.1034,2922.0,
claws,4.602,2936.0,
sharp,7.7867,2992.0,
as,4.154,3019.0,
knives,6.2245,3037.0,
She,8.2906,3138.0,Low
looked,4.0596,3155.0,
around,6.1344,3178.0,
and,2.4059,3216.0,
sniff,9.5109,3230.0,
the,3.3684,3265.0,
air,4.7911,3277.0,
She,2.8382,3377.0,
won,12.5577,3398.0,
cause,12.3457,3419.0,
a,3.8268,3441.0,
problem,1.927,3446.0,
set,16.7351,3490.0,
a,5.4529,3509.0,
young,9.6393,3511.0,
mouse,4.9037,3537.0,
Just,7.6495,3616.0,
another,8.063,3643.0,
cat,5.0987,3676.0,
maybe,6.5357,3743.0,
quiet,15.0665,3771.0,
and,3.5915,3817.0,
slow,10.3741,3829.0,
The,3.803,3956.0,
old,4.4253,3967.0,
mouse,2.1824,3992.0,
nodded,9.3247,4023.0,
staying,12.7559,4065.0,
quiet,3.8026,4098.0,
This,7.4505,4244.0,
cat,4.7518,4267.0,
was,2.0654,4297.0,
not,4.3621,4309.0,
the,4.0302,4332.0,
same,2.1284,4339.0,
She,2.1212,4437.0,
