Word,Surprisal,Word_Onset,Word_Onset_Samples
The,0,1.81,452.5
mice,15.4795,1.91,477.5
on,6.9533,2.23,557.5
the,1.0602,2.33,582.5
farm,9.6725,2.4,600.0
were,2.1896,2.74,685.0
happy,10.3031,2.85,712.5
There,6.7524,3.85,962.5
was,0.9265,4.01,1002.5
a,2.6185,4.15,1037.5
cat,11.723,4.23,1057.5
but,8.0632,4.63,1157.5
he,5.0716,4.74,1185.0
was,1.6366,4.86,1215.0
very,5.3764,5.02,1255.0
old,7.6844,5.33,1332.5
He,1.8235,6.13,1532.5
did,6.0082,6.27,1567.5
not,0.4182,6.41,1602.5
chase,11.5434,6.65,1662.5
mice,8.0572,6.91,1727.5
anymore,6.4989,7.18,1795.0
Most,9.3991,8.34,2085.0
days,6.5305,8.74,2185.0
he,0.9727,9.1,2275.0
just,4.6606,9.21,2302.5
lay,6.7181,9.44,2360.0
in,3.6466,9.63,2407.5
the,1.3018,9.73,2432.5
sun,6.3587,9.82,2455.0
C,12.0073,11.01,2752.5
mice,2.0565,11.31,2827.5
is,2.6051,11.56,2890.0
too,8.9278,11.66,2915.0
much,2.6955,11.8,2950.0
work,2.5703,11.98,2995.0
he,10.3117,12.22,3055.0
would,6.8168,12.35,3087.5
say,3.4061,12.5,3125.0
I,4.8697,13.17,3292.5
would,4.3506,13.35,3337.5
rather,7.7641,13.49,3372.5
sleep,7.0897,13.78,3445.0
Then,6.6207,15.04,3760.0
everything,10.5534,15.4,3850.0
changed,3.3167,15.88,3970.0
One,6.8862,17.09,4272.5
morning,4.3695,17.31,4327.5
the,4.3999,17.71,4427.5
farmer,5.8993,17.81,4452.5
came,2.3369,18.2,4550.0
carrying,10.5746,18.55,4637.5
a,0.9683,18.98,4745.0
strange,9.545,19.04,4760.0
wood,11.1224,19.44,4860.0
box,6.7541,19.72,4930.0
He,2.0177,20.62,5155.0
set,8.9023,20.77,5192.5
it,0.5951,20.96,5240.0
down,3.7637,21.09,5272.5
slowly,12.0107,21.34,5335.0
The,2.9992,22.6,5650.0
mice,3.1396,22.7,5675.0
froze,8.578,22.96,5740.0
as,6.9703,23.35,5837.5
the,3.1677,23.52,5880.0
lid,8.4062,23.62,5905.0
cre,8.4483,23.9,5975.0
open,1.8159,24.24,6060.0
and,2.9367,24.78,6195.0
out,8.4368,24.94,6235.0
stepped,8.1557,25.19,6297.5
a,1.479,25.49,6372.5
sleek,13.2044,25.58,6395.0
shadow,11.7898,26.03,6507.5
black,14.3138,26.44,6610.0
cat,7.7513,26.89,6722.5
with,4.1496,27.22,6805.0
eyes,6.2341,27.37,6842.5
like,3.0804,27.79,6947.5
burning,11.3613,28.02,7005.0
yellow,10.0204,28.35,7087.5
fire,3.8649,28.64,7160.0
and,6.1034,29.22,7305.0
claws,4.602,29.36,7340.0
sharp,7.7867,29.92,7480.0
as,4.154,30.19,7547.5
knives,6.2245,30.37,7592.5
She,8.2906,31.38,7845.0
looked,4.0596,31.55,7887.5
around,6.1344,31.78,7945.0
and,2.4059,32.16,8040.0
sniff,9.5109,32.3,8075.0
the,3.3684,32.65,8162.5
air,4.7911,32.77,8192.5
She,2.8382,33.77,8442.5
won,12.5577,33.98,8495.0
cause,12.3457,34.19,8547.5
a,3.8268,34.41,8602.5
problem,1.927,34.46,8615.0
set,16.7351,34.9,8725.0
a,5.4529,35.09,8772.5
young,9.6393,35.11,8777.5
mouse,4.9037,35.37,8842.5
Just,7.6495,36.16,9040.0
another,8.063,36.43,9107.5
cat,5.0987,36.76,9190.0
maybe,6.5357,37.43,9357.5
quiet,15.0665,37.71,9427.5
and,3.5915,38.17,9542.5
slow,10.3741,38.29,9572.5
The,3.803,39.56,9890.0
old,4.4253,39.67,9917.5
mouse,2.1824,39.92,9980.0
nodded,9.3247,40.23,10057.5
staying,12.7559,40.65,10162.5
quiet,3.8026,40.98,10245.0
This,7.4505,42.44,10610.0
cat,4.7518,42.67,10667.5
was,2.0654,42.97,10742.5
not,4.3621,43.09,10772.5
the,4.0302,43.32,10830.0
same,2.1284,43.39,10847.5
She,2.1212,44.37,11092.5
was,1.7576,44.55,11137.5
young,6.8279,44.77,11192.5
She,1.4791,45.69,11422.5
moved,8.9093,45.87,11467.5
fast,4.3922,46.19,11547.5
