Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
The,,452.5,Low
mice,15.4795,477.5,
on,6.9533,557.5,
the,1.0602,582.5,
farm,9.6725,600.0,
were,2.1896,685.0,
happy,10.3031,712.5,
There,6.7524,962.5,
was,0.9265,1002.5,
a,2.6185,1037.5,
cat,11.723,1057.5,
but,8.0632,1157.5,
he,5.0716,1185.0,
was,1.6366,1215.0,
very,5.3764,1255.0,
old,7.6844,1332.5,
He,1.8235,1532.5,
did,6.0082,1567.5,
not,0.4182,1602.5,
chase,11.5434,1662.5,
mice,8.0572,1727.5,
anymore,6.4989,1795.0,
Most,9.3991,2085.0,
days,6.5305,2185.0,
he,0.9727,2275.0,
just,4.6606,2302.5,
lay,6.7181,2360.0,
in,3.6466,2407.5,
the,1.3018,2432.5,
sun,6.3587,2455.0,
C,12.0073,2752.5,
mice,2.0565,2827.5,
is,2.6051,2890.0,
too,8.9278,2915.0,
much,2.6955,2950.0,
work,2.5703,2995.0,
he,10.3117,3055.0,
would,6.8168,3087.5,
say,3.4061,3125.0,
I,4.8697,3292.5,
would,4.3506,3337.5,
rather,7.7641,3372.5,
sleep,7.0897,3445.0,
Then,6.6207,3760.0,High
everything,10.5534,3850.0,
changed,3.3167,3970.0,
One,6.8862,4272.5,
morning,4.3695,4327.5,
the,4.3999,4427.5,
farmer,5.8993,4452.5,
came,2.3369,4550.0,
carrying,10.5746,4637.5,
a,0.9683,4745.0,
strange,9.545,4760.0,
wood,11.1224,4860.0,
box,6.7541,4930.0,
He,2.0177,5155.0,
set,8.9023,5192.5,
it,0.5951,5240.0,
down,3.7637,5272.5,
slowly,12.0107,5335.0,
The,2.9992,5650.0,
mice,3.1396,5675.0,
froze,8.578,5740.0,
as,6.9703,5837.5,
the,3.1677,5880.0,
lid,8.4062,5905.0,
cre,8.4483,5975.0,
open,1.8159,6060.0,
and,2.9367,6195.0,
out,8.4368,6235.0,
stepped,8.1557,6297.5,
a,1.479,6372.5,
sleek,13.2044,6395.0,
shadow,11.7898,6507.5,
black,14.3138,6610.0,
cat,7.7513,6722.5,
with,4.1496,6805.0,
eyes,6.2341,6842.5,
like,3.0804,6947.5,
burning,11.3613,7005.0,
yellow,10.0204,7087.5,
fire,3.8649,7160.0,
and,6.1034,7305.0,
claws,4.602,7340.0,
sharp,7.7867,7480.0,
as,4.154,7547.5,
knives,6.2245,7592.5,
She,8.2906,7845.0,Low
looked,4.0596,7887.5,
around,6.1344,7945.0,
and,2.4059,8040.0,
sniff,9.5109,8075.0,
the,3.3684,8162.5,
air,4.7911,8192.5,
She,2.8382,8442.5,
won,12.5577,8495.0,
cause,12.3457,8547.5,
a,3.8268,8602.5,
problem,1.927,8615.0,
set,16.7351,8725.0,
a,5.4529,8772.5,
young,9.6393,8777.5,
mouse,4.9037,8842.5,
Just,7.6495,9040.0,
another,8.063,9107.5,
cat,5.0987,9190.0,
maybe,6.5357,9357.5,
quiet,15.0665,9427.5,
and,3.5915,9542.5,
slow,10.3741,9572.5,
The,3.803,9890.0,
old,4.4253,9917.5,
mouse,2.1824,9980.0,
nodded,9.3247,10057.5,
staying,12.7559,10162.5,
quiet,3.8026,10245.0,
This,7.4505,10610.0,
cat,4.7518,10667.5,
was,2.0654,10742.5,
not,4.3621,10772.5,
the,4.0302,10830.0,
same,2.1284,10847.5,
She,2.1212,11092.5,
was,1.7576,11137.5,
young,6.8279,11192.5,
She,1.4791,11422.5,
moved,8.9093,11467.5,
fast,4.3922,11547.5,
She,1.5114,11735.0,
noticed,11.0626,11790.0,
things,6.7966,11912.5,
And,7.5632,12135.0,
worst,14.1823,12185.0,
of,0.1898,12257.5,
all,0.0066,12287.5,
she,0.999,12442.5,
looked,5.8832,12492.5,
hungry,8.7776,12545.0,
That,7.1516,12872.5,High
night,6.2335,12937.5,
the,2.1797,13020.0,
new,8.5233,13040.0,
cat,3.0408,13102.5,
prow,13.9806,13207.5,
the,1.6211,13310.0,
farm,2.9538,13327.5,
yard,7.8249,13410.0,
like,6.4852,13470.0,
a,0.7052,13512.5,
ghost,5.1604,13535.0,
Her,5.8871,13782.5,
black,6.94,13832.5,
coat,4.8437,13957.5,
melted,10.8744,14000.0,
into,3.8625,14112.5,
the,2.4503,14170.0,
shadows,7.8022,14202.5,
as,2.7395,14315.0,
she,0.7294,14360.0,
moved,5.4889,14397.5,
without,9.2979,14507.5,
a,3.11,14595.0,
sound,5.4678,14612.5,
waiting,8.5684,14827.5,
listening,8.2668,14987.5,
At,6.7822,15410.0,
dawn,6.0132,15470.0,
the,1.9853,15560.0,
mice,6.8637,15582.5,
gathered,8.405,15665.0,
in,3.1166,15762.5,
the,1.0859,15792.5,
barn,4.6959,15810.0,
Wh,12.963,16002.5,
and,4.1586,16135.0,
scared,11.3465,16167.5,
looks,6.3677,16260.0,
replacing,18.7854,16342.5,
their,5.3031,16470.0,
usual,3.3345,16502.5,
chatter,7.148,16617.5,
There,6.2851,16952.5,Low
were,2.0017,16997.5,
fewer,10.0587,17030.0,
mice,2.8218,17115.0,
now,5.2173,17197.5,
Where,9.0684,17410.0,
did,2.5525,17452.5,
they,1.6633,17485.0,
go,2.4391,17520.0,
the,8.5768,17582.5,
young,10.3962,17607.5,
mouse,1.1926,17667.5,
asked,9.3926,17730.0,
looking,4.7472,17905.0,
around,4.2656,17982.5,
The,2.943,18317.5,
old,1.0069,18340.0,
mouse,0.3408,18400.0,
looked,4.0495,18480.0,
toward,8.9458,18587.5,
the,0.415,18640.0,
farm,4.3659,18657.5,
house,6.0561,19037.5,
The,2.718,19060.0,
new,5.2326,19112.5,
cat,3.0915,19190.0,
sat,6.5774,19245.0,
by,5.9839,19280.0,
the,0.5116,19310.0,
door,4.1377,19400.0,
licking,9.1541,19480.0,
her,2.0034,19520.0,
paws,4.8857,19782.5,
Her,5.2012,19820.0,
belly,9.8565,19892.5,
was,1.9692,19940.0,
round,10.589,20115.0,
She,1.838,20167.5,
looked,3.3669,20230.0,
satisfied,11.5838,20565.0,
Each,10.7993,20640.0,
night,5.2693,20747.5,
more,6.8664,20810.0,
mice,0.8307,20887.5,
vanished,10.347,21275.0,
Fear,12.5835,21370.0,High
clenched,14.0332,21480.0,
the,4.7755,21502.5,
mice,6.6415,21592.5,
like,6.2168,21685.0,
cold,8.2145,21740.0,
iron,6.1105,21972.5,
A,5.4966,22000.0,
secret,11.7326,22090.0,
meeting,11.2404,22172.5,
was,3.1307,22210.0,
summoned,10.7001,22527.5,
We,8.3415,22560.0,
must,4.7291,22630.0,
fight,6.7916,22695.0,
back,6.2058,22780.0,
to,6.3665,22792.5,
clear,10.7998,22872.5,
the,1.0345,22895.0,
old,6.8473,22952.5,
mouse,1.9114,23120.0,
If,6.2508,23162.5,
we,1.0838,23187.5,
don,3.1386,23240.0,
stop,6.9214,23315.0,
her,3.0536,23375.0,
none,10.3839,23422.5,
of,0.2615,23447.5,
us,1.1265,23495.0,
will,0.7436,23517.5,
be,2.6642,23555.0,
left,3.9759,23875.0,
He,8.0276,23915.0,
sighed,7.2918,24025.0,
deeply,7.0362,24247.5,
The,3.3108,24272.5,
trouble,13.4953,24355.0,
is,2.9556,24525.0,
we,3.6479,24560.0,
can,3.6995,24627.5,
hear,9.7247,24670.0,
her,1.6726,24707.5,
coming,8.5435,24940.0,
She,2.7816,24997.5,
silent,8.0181,25162.5,
invisible,10.8368,25472.5,
until,9.6177,25555.0,
it,6.467,25605.0,
too,0.3942,25652.5,
late,0.0154,26082.5,
I,5.2462,26110.0,Low 
have,4.4183,26160.0,
an,6.8543,26182.5,
idea,0.5821,26297.5,
said,9.2606,26352.5,
the,0.9229,26367.5,
young,4.888,26430.0,
mouse,0.2348,26635.0,
Let,6.1766,26700.0,
put,6.3329,26745.0,
a,2.863,26757.5,
bell,12.2766,26827.5,
on,2.0253,26857.5,
her,3.0545,26892.5,
collar,7.1262,27115.0,
Then,5.4574,27172.5,
we,2.193,27205.0,
hear,4.4346,27255.0,
her,0.8273,27287.5,
coming,5.432,27615.0,
The,3.5769,27645.0,
mice,5.9506,27717.5,
looked,6.6831,27767.5,
at,1.7282,27792.5,
each,0.9283,27842.5,
other,0.0347,28075.0,
That,7.5899,28115.0,
could,7.6017,28157.5,
work,5.5613,28232.5,
said,1.7685,28287.5,
one,5.7615,28340.0,
quietly,13.142,28550.0,
The,2.8296,28607.5,
others,6.7369,28665.0,
nodded,3.3735,28867.5,
It,4.9183,28910.0,
seemed,5.3358,28985.0,
like,2.3935,29030.0,
a,2.0093,29057.5,
