Word,Surprisal,Word_Onset,Word_Onset_Samples
The,0,0.396,99
sun,12.9838199615479,0.448,112
rose,5.86881589889526,0.572,143
slowly,6.79091787338257,0.6840000000000000,171
over,4.72610235214233,0.876,219
the,0.359032064676285,0.98,245
snow,8.5769214630127,1.032,258
The,2.72934937477112,1.436,359
trees,6.78972864151001,1.492,373
were,2.67264842987061,1.624,406
still,3.82707095146179,1.6800000000000000,420
with,8.31660175323486,1.932,483
snow,8.75181579589844,2.008,502
resting,15.4692115783691,2.144,536
on,0.87716668844223,2.3120000000000000,578
their,1.78279626369476,2.3600000000000000,590
branches,1.12906217575073,2.408,602
The,2.38372015953064,2.912,728
air,6.29735660552979,2.968,742
was,0.972295105457306,3.048,762
cold,3.22997069358826,3.112,778
and,1.34154307842255,3.244,811
quiet,6.72634172439575,3.28,820
Everything,8.616135597229,3.724,931
stayed,11.1497449874878,3.896,974
calm,2.64406371116638,4.0200000000000000,1005
just,5.05847692489624,4.18,1045
like,2.02740788459778,4.284000000000000,1071
the,2.30811810493469,4.352,1088
day,4.39608955383301,4.392,1098
before,0.62680196762085,4.468,1117
A,5.86635828018189,4.664,1166
distant,8.49341011047363,4.96,1240
how,12.4268102645874,5.012,1253
of,3.38911557197571,5.14,1285
a,4.15136957168579,5.292,1323
wolf,6.13310766220093,5.34,1335
echoed,7.01141357421875,5.368,1342
in,2.62653803825378,5.512,1378
the,0.269159197807312,5.668,1417
valley,8.29063224792481,5.704,1426
but,4.08615589141846,5.736,1434
it,2.37637782096863,5.904,1476
faded,7.9025373458862300,5.992,1498
into,3.45909261703491,6.044,1511
silence,2.90990710258484,6.196,1549
Suddenly,8.36143684387207,6.296,1574
the,1.62550640106201,6.868,1717
waves,11.0343446731567,6.932,1733
erupted,11.1900596618652,7.0920000000000000,1773
and,2.08731341362,7.144,1786
a,3.21242332458496,7.280000000000000,1820
strange,6.49336862564087,7.624,1906
light,5.71664428710938,7.696,1924
f,7.72061061859131,7.724000000000000,1931
across,4.09267377853394,7.892,1973
the,0.140502154827118,8.016,2004
horizon,5.0975456237793,8.168000000000000,2042
casting,7.65767526626587,8.328,2082
eerie,8.59931373596191,8.372,2093
shadows,0.462583392858505,8.756,2189
over,2.10407018661499,8.948,2237
the,0.281124085187912,9.06,2265
frozen,8.34952926635742,9.244,2311
landscape,2.78008341789246,9.336,2334
The,2.34635090827942,9.388,2347
two,7.51400852203369,9.544,2386
men,3.97451186180115,10.132,2533
sat,7.12784576416016,10.184,2546
on,2.69268202781677,10.28,2570
their,2.49183702468872,10.364,2591
boat,12.9803619384766,10.472,2618
and,3.27318143844605,10.512,2628
looked,3.65822601318359,10.568,2642
up,2.74701046943665,10.664,2666
The,2.64106678962708,10.708,2677
wind,4.64671850204468,10.808,2702
and,6.99261617660523,11.228,2807
sun,5.99595880508423,11.292,2823
are,8.79101371765137,11.392,2848
here,9.16794681549072,11.46,2865
one,10.1291675567627,11.556,2889
of,2.79167413711548,11.6,2900
them,1.23310649394989,11.724,2931
said,6.37890195846558,11.788,2947
Let,11.1533117294312,11.836,2959
hope,7.19232749938965,11.9,2975
the,3.24824357032776,12.192,3048
weather,6.90961360931397,12.28,3070
stays,5.48367214202881,12.368,3092
nice,6.31253242492676,12.416,3104
today,7.63786220550537,12.536,3134
Suddenly,9.8541431427002,12.672,3168
the,1.41894769668579,12.78,3195
wind,3.62670302391052,13.332,3333
how,10.3764619827271,13.552,3388
led,0.041086595505476,13.6,3400
ripping,9.8180513381958,13.692000000000000,3423
through,2.75515675544739,14.116,3529
the,0.206589013338089,14.236,3559
st,16.5883617401123,14.32,3580
like,11.6583652496338,14.356,3589
a,0.993841469287872,14.572,3643
j,8.58000373840332,14.624,3656
blade,4.89058065414429,14.656,3664
Move,14.9056806564331,14.808000000000000,3702
sun,20.0776557922363,15.26,3815
it,6.63485240936279,15.392,3848
screamed,10.4896020889282,15.524,3881
I,5.15221405029297,15.596,3899
will,4.92032814025879,16.012,4003
scatter,12.9733848571777,16.080000000000000,4020
your,4.11450719833374,16.124000000000000,4031
peace,13.2642993927002,16.308,4077
and,2.91411447525024,16.384,4096
tear,10.5073652267456,16.528,4132
the,3.72539567947388,16.584,4146
world,2.23812413215637,16.696,4174
a,8.87605285644531,16.740000000000000,4185
su,16.263786315918,16.868000000000000,4217
The,2.9724235534668,16.9,4225
wind,2.98218417167664,17.492000000000000,4373
fury,5.49043035507202,17.544,4386
broke,5.83974933624268,17.656,4414
the,1.71204769611359,17.784,4446
calm,8.81554412841797,17.912,4478
with,8.04624748229981,17.952,4488
an,4.42797327041626,18.12,4530
intensity,8.99028587341309,18.2,4550
that,1.33125197887421,18.24,4560
seemed,5.67839288711548,18.484,4621
to,0.89921635389328,18.556,4639
shake,6.61405420303345,18.668,4667
the,0.814878642559052,18.744,4686
very,8.32322120666504,18.868,4717
air,4.94653177261353,18.916,4729
The,1.83324325084686,19.044,4761
wind,3.71118474006653,19.58,4895
blew,4.8341121673584,19.632,4908
strongly,10.6072082519531,19.728,4932
over,6.90556144714356,19.808,4952
the,0.373638361692429,20.016,5004
sea,7.11963844299316,20.108,5027
The,1.5839775800705,20.156,5039
waves,5.79216909408569,20.584,5146
moved,6.66328620910645,20.644,5161
higher,10.1346063613892,20.772,5193
and,0.97942990064621,20.868,5217
the,7.74026298522949,21.044,5261
boats,8.96991920471191,21.084,5271
shifted,7.19101333618164,21.112,5278
in,4.05189514160156,21.26,5315
the,2.50186681747437,21.416,5354
water,3.82776761054993,21.46,5365
The,1.50710010528564,21.496,5374
sailors,9.11260890960693,22.016,5504
held,8.53752136230469,22.068,5517
on,3.64055824279785,22.316,5579
tightly,3.7841334342956500,22.436,5609
as,3.36243748664856,22.488,5622
their,4.5772852897644,22.664,5666
ships,4.58937883377075,22.736,5684
moved,4.82034397125244,22.788,5697
with,6.95340728759766,22.928,5732
the,2.35972571372986,23.084,5771
wind,1.99070000648499,23.168,5792
The,1.67754340171814,23.192,5798
sun,4.5153341293335,23.632,5908
stayed,8.74456691741943,23.688,5922
in,3.78510522842407,23.796,5949
the,0.550994038581848,23.912,5978
sky,1.48334515094757,23.952,5988
Un,14.1092100143433,23.988,5997
it,4.935709953308110,24.76,6190
cast,8.2775182723999,25.004,6251
a,1.30263257026672,25.052,6263
steady,10.3215637207031,25.176,6294
gaze,5.78779554367065,25.204,6301
over,1.90224778652191,25.34,6335
the,0.162169560790062,25.484,6371
chaos,9.99942588806152,25.572,6393
below,8.24021530151367,25.612,6403
Sm,12.2665519714355,25.788,6447
the,1.27981913089752,26.232,6558
sun,3.93661546707153,26.46,6615
pronounced,17.0674724578857,26.5,6625
let,11.7402877807617,26.6,6650
see,4.49508094787598,27.048,6762
who,5.43432903289795,27.188,6797
truly,11.6030473709106,27.24,6810
stronger,10.4609699249268,27.324,6831
Whoever,10.1484975814819,27.46,6865
gets,6.96893453598023,27.812,6953
that,8.2714433670044,27.956,6989
man,9.54843235015869,28.048,7012
there,10.2336702346802,28.116000000000000,7029
to,7.86092233657837,28.228,7057
remove,11.8802680969238,28.316000000000000,7079
his,3.78327989578247,28.376,7094
coat,9.28576183319092,28.5,7125
wins,11.3256740570068,28.572000000000000,7143
The,2.17747259140015,28.704,7176
wind,3.62384057044983,29.168,7292
scoff,13.3266162872314,29.224,7306
Accept,14.1950807571411,29.332,7333
I,5.36930656433106,29.736,7434
blow,8.14322662353516,30.128,7532
him,4.24738597869873,30.204,7551
into,6.37405967712402,30.292,7573
submission,7.52809762954712,30.360000000000000,7590
A,5.45952844619751,30.452,7613
strong,7.12946367263794,31.036,7759
wind,2.92225694656372,31.092,7773
began,8.14089488983154,31.22,7805
to,0.462055385112762,31.32,7830
blow,2.86361932754517,31.452,7863
The,1.65012943744659,31.488,7872
trees,9.01778602600098,32.052,8013
bent,9.37585639953613,32.108,8027
and,2.02943348884583,32.264,8066
birds,15.3741092681885,32.396,8099
flew,3.2989182472229,32.46,8115
away,3.96493577957153,32.568,8142
The,1.32971179485321,32.660000000000000,8165
man,6.62730026245117,33.124,8281
pulled,8.182297706604,33.172000000000000,8293
his,1.87831687927246,33.304,8326
coat,1.76021862030029,33.428,8357
closer,8.43349456787109,33.484000000000000,8371
and,2.94020056724548,33.588,8397
leaned,7.60589361190796,33.776,8444
forward,3.71140456199646,33.824,8456
as,5.21737575531006,33.924,8481
he,2.18175649642944,34.08,8520
walked,6.83878421783447,34.156,8539
into,5.61192846298218,34.204,8551
the,0.325042724609375,34.324,8581
wind,5.49287796020508,34.44,8610
But,8.91012382507324,34.484000000000000,8621
despite,9.22155094146728,34.88,8720
the,1.02111494541168,34.948,8737
wind,2.28339385986328,35.116,8779
strength,4.91493272781372,35.164,8791
the,1.55475354194641,35.3,8825
man,1.47591316699982,35.616,8904
did,3.93391346931458,35.668,8917
not,0.0813108086585998,35.760000000000000,8940
let,6.189612865448,35.812,8953
go,0.776736497879028,35.904,8976
of,2.04328846931458,35.972,8993
his,1.10277843475342,36.048,9012
coat,1.39828956127167,36.08,9020
He,1.64610111713409,36.148,9037
y,11.1868829727173,36.416,9104
the,2.68578290939331,36.524,9131
coat,1.55267429351807,36.66,9165
tighter,6.00268745422363,36.708,9177
burying,10.0012331008911,36.872,9218
himself,4.0500659942627,37.124,9281
in,0.982298731803894,37.28,9320
its,4.80241250991821,37.48,9370
fragile,13.1839504241943,37.528,9382
shelter,10.8416290283203,37.596,9399
of,7.74592924118042,37.84,9460
fabric,8.45840930938721,38.072,9518
and,3.7796027660369900,38.12,9530
hope,11.2337322235107,38.296,9574
His,5.49251317977905,38.344,9586
face,4.41920900344849,38.760000000000000,9690
raw,10.3200721740723,38.852,9713
and,0.886048853397369,39.024,9756
wind,12.3733549118042,39.132,9783
burned,15.3208608627319,39.204,9801
held,9.36307621002197,39.288,9822
a,4.51420545578003,39.508,9877
quiet,10.7612018585205,39.6,9900
defiance,11.3423900604248,39.62,9905
that,2.95163464546204,39.768,9942
seemed,4.68819379806519,39.98,9995
to,0.673743724822998,40.036,10009
mock,8.95187568664551,40.156,10039
the,1.42061817646027,40.24,10060
storms,11.2577419281006,40.372,10093
and,2.5831892490387,40.42,10105
less,15.0922355651855,40.624,10156
rage,13.4061050415039,40.688,10172
The,2.17448806762695,40.792,10198
sun,3.831050157547,41.284,10321
stayed,8.41334342956543,41.34,10335
in,1.80417335033417,41.452,10363
the,0.121769048273563,41.564,10391
sky,0.150713548064232,41.608,10402
shining,7.19170331954956,41.644,10411
quietly,10.5556659698486,41.888,10472
It,4.0933780670166,42.04,10510
warmth,8.16968631744385,42.492,10623
was,3.6929943561554,42.584,10646
soft,8.5452995300293,42.724,10681
and,1.12667727470398,42.78,10695
steady,7.73529052734375,42.928,10732
It,3.01564002037048,42.984,10746
didn,5.15101289749146,43.364,10841
say,8.483642578125,43.42,10855
anything,1.77040553092957,43.548,10887
The,2.24234175682068,43.628,10907
wind,2.21153450012207,44.064,11016
moved,5.27633905410767,44.128,11032
quickly,6.94291353225708,44.264,11066
but,5.0774941444397,44.372,11093
the,2.12288093566895,44.676,11169
sun,4.16435813903809,44.74,11185
stayed,4.07779550552368,44.78,11195
the,7.59848117828369,44.904,11226
same,0.589247405529022,45.024,11256
In,6.30494976043701,45.064,11266
new,15.1223611831665,45.528,11382
things,9.93877029418945,45.58,11395
would,10.2797966003418,45.624,11406
