Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
The,,99.0,Low
sun,12.9838199615479,112.0,
rose,5.86881589889526,143.0,
slowly,6.79091787338257,171.0,
over,4.72610235214233,219.0,
the,0.359032064676285,245.0,
snow,8.5769214630127,258.0,
The,2.72934937477112,359.0,
trees,6.78972864151001,373.0,
were,2.67264842987061,406.0,
still,3.82707095146179,420.0,
with,8.31660175323486,483.0,
snow,8.75181579589844,502.0,
resting,15.4692115783691,536.0,
on,0.87716668844223,578.0,
their,1.78279626369476,590.0,
branches,1.12906217575073,602.0,
The,2.38372015953064,728.0,
air,6.29735660552979,742.0,
was,0.972295105457306,762.0,
cold,3.22997069358826,778.0,
and,1.34154307842255,811.0,
quiet,6.72634172439575,820.0,
Everything,8.616135597229,931.0,
stayed,11.1497449874878,974.0,
calm,2.64406371116638,1005.0,
just,5.05847692489624,1045.0,
like,2.02740788459778,1071.0,
the,2.30811810493469,1088.0,
day,4.39608955383301,1098.0,
before,0.62680196762085,1117.0,
A,5.86635828018189,1166.0,High
distant,8.49341011047363,1240.0,
how,12.4268102645874,1253.0,
of,3.38911557197571,1285.0,
a,4.15136957168579,1323.0,
wolf,6.13310766220093,1335.0,
echoed,7.01141357421875,1342.0,
in,2.62653803825378,1378.0,
the,0.269159197807312,1417.0,
valley,8.29063224792481,1426.0,
but,4.08615589141846,1434.0,
it,2.37637782096863,1476.0,
faded,7.9025373458862305,1498.0,
into,3.45909261703491,1511.0,
silence,2.90990710258484,1549.0,
Suddenly,8.36143684387207,1574.0,
the,1.62550640106201,1717.0,
waves,11.0343446731567,1733.0,
erupted,11.1900596618652,1773.0,
and,2.08731341362,1786.0,
a,3.21242332458496,1820.0,
strange,6.49336862564087,1906.0,
light,5.71664428710938,1924.0,
f,7.72061061859131,1931.0,
across,4.09267377853394,1973.0,
the,0.140502154827118,2004.0,
horizon,5.0975456237793,2042.0,
casting,7.65767526626587,2082.0,
eerie,8.59931373596191,2093.0,
shadows,0.462583392858505,2189.0,
over,2.10407018661499,2237.0,
the,0.281124085187912,2265.0,
frozen,8.34952926635742,2311.0,
landscape,2.78008341789246,2334.0,
The,2.34635090827942,2347.0,Low
two,7.51400852203369,2386.0,
men,3.97451186180115,2533.0,
sat,7.12784576416016,2546.0,
on,2.69268202781677,2570.0,
their,2.49183702468872,2591.0,
boat,12.9803619384766,2618.0,
and,3.27318143844605,2628.0,
looked,3.65822601318359,2642.0,
up,2.74701046943665,2666.0,
The,2.64106678962708,2677.0,
wind,4.64671850204468,2702.0,
and,6.99261617660523,2807.0,
sun,5.99595880508423,2823.0,
are,8.79101371765137,2848.0,
here,9.16794681549072,2865.0,
one,10.1291675567627,2889.0,
of,2.79167413711548,2900.0,
them,1.23310649394989,2931.0,
said,6.37890195846558,2947.0,
Let,11.1533117294312,2959.0,
hope,7.19232749938965,2975.0,
the,3.24824357032776,3048.0,
weather,6.90961360931397,3070.0,
stays,5.48367214202881,3092.0,
nice,6.31253242492676,3104.0,
today,7.63786220550537,3134.0,
Suddenly,9.8541431427002,3168.0,High
the,1.41894769668579,3195.0,
wind,3.62670302391052,3333.0,
how,10.3764619827271,3388.0,
led,0.041086595505476,3400.0,
ripping,9.8180513381958,3423.0,
through,2.75515675544739,3529.0,
the,0.206589013338089,3559.0,
st,16.5883617401123,3580.0,
like,11.6583652496338,3589.0,
a,0.993841469287872,3643.0,
j,8.58000373840332,3656.0,
blade,4.89058065414429,3664.0,
Move,14.9056806564331,3702.0,
sun,20.0776557922363,3815.0,
it,6.63485240936279,3848.0,
screamed,10.4896020889282,3881.0,
I,5.15221405029297,3899.0,
will,4.92032814025879,4003.0,
scatter,12.9733848571777,4020.0,
your,4.11450719833374,4031.0,
peace,13.2642993927002,4077.0,
and,2.91411447525024,4096.0,
tear,10.5073652267456,4132.0,
the,3.72539567947388,4146.0,
world,2.23812413215637,4174.0,
a,8.87605285644531,4185.0,
su,16.263786315918,4217.0,
The,2.9724235534668,4225.0,
wind,2.98218417167664,4373.0,
fury,5.49043035507202,4386.0,
broke,5.83974933624268,4414.0,
the,1.71204769611359,4446.0,
calm,8.81554412841797,4478.0,
with,8.04624748229981,4488.0,
an,4.42797327041626,4530.0,
intensity,8.99028587341309,4550.0,
that,1.33125197887421,4560.0,
seemed,5.67839288711548,4621.0,
to,0.89921635389328,4639.0,
shake,6.61405420303345,4667.0,
the,0.814878642559052,4686.0,
very,8.32322120666504,4717.0,
air,4.94653177261353,4729.0,
The,1.83324325084686,4761.0,Low
wind,3.71118474006653,4895.0,
blew,4.8341121673584,4908.0,
strongly,10.6072082519531,4932.0,
over,6.90556144714356,4952.0,
the,0.373638361692429,5004.0,
sea,7.11963844299316,5027.0,
The,1.5839775800705,5039.0,
waves,5.79216909408569,5146.0,
moved,6.66328620910645,5161.0,
higher,10.1346063613892,5193.0,
and,0.97942990064621,5217.0,
the,7.74026298522949,5261.0,
boats,8.96991920471191,5271.0,
shifted,7.19101333618164,5278.0,
in,4.05189514160156,5315.0,
the,2.50186681747437,5354.0,
water,3.82776761054993,5365.0,
The,1.50710010528564,5374.0,
sailors,9.11260890960693,5504.0,
held,8.53752136230469,5517.0,
on,3.64055824279785,5579.0,
tightly,3.7841334342956494,5609.0,
as,3.36243748664856,5622.0,
their,4.5772852897644,5666.0,
ships,4.58937883377075,5684.0,
moved,4.82034397125244,5697.0,
with,6.95340728759766,5732.0,
the,2.35972571372986,5771.0,
wind,1.99070000648499,5792.0,
The,1.67754340171814,5798.0,
sun,4.5153341293335,5908.0,
stayed,8.74456691741943,5922.0,
in,3.78510522842407,5949.0,
the,0.550994038581848,5978.0,
sky,1.48334515094757,5988.0,
Un,14.1092100143433,5997.0,High
it,4.93570995330811,6190.0,
cast,8.2775182723999,6251.0,
a,1.30263257026672,6263.0,
steady,10.3215637207031,6294.0,
gaze,5.78779554367065,6301.0,
over,1.90224778652191,6335.0,
the,0.162169560790062,6371.0,
chaos,9.99942588806152,6393.0,
below,8.24021530151367,6403.0,
Sm,12.2665519714355,6447.0,
the,1.27981913089752,6558.0,
sun,3.93661546707153,6615.0,
pronounced,17.0674724578857,6625.0,
let,11.7402877807617,6650.0,
see,4.49508094787598,6762.0,
who,5.43432903289795,6797.0,
truly,11.6030473709106,6810.0,
stronger,10.4609699249268,6831.0,
Whoever,10.1484975814819,6865.0,
gets,6.96893453598023,6953.0,
that,8.2714433670044,6989.0,
man,9.54843235015869,7012.0,
there,10.2336702346802,7029.0,
to,7.86092233657837,7057.0,
remove,11.8802680969238,7079.0,
his,3.78327989578247,7094.0,
coat,9.28576183319092,7125.0,
wins,11.3256740570068,7143.0,
The,2.17747259140015,7176.0,
wind,3.62384057044983,7292.0,
scoff,13.3266162872314,7306.0,
Accept,14.1950807571411,7333.0,
I,5.36930656433106,7434.0,
blow,8.14322662353516,7532.0,
him,4.24738597869873,7551.0,
into,6.37405967712402,7573.0,
submission,7.52809762954712,7590.0,
A,5.45952844619751,7613.0,Low
strong,7.12946367263794,7759.0,
wind,2.92225694656372,7773.0,
began,8.14089488983154,7805.0,
to,0.462055385112762,7830.0,
blow,2.86361932754517,7863.0,
The,1.65012943744659,7872.0,
trees,9.01778602600098,8013.0,
bent,9.37585639953613,8027.0,
and,2.02943348884583,8066.0,
birds,15.3741092681885,8099.0,
flew,3.2989182472229,8115.0,
away,3.96493577957153,8142.0,
The,1.32971179485321,8165.0,
man,6.62730026245117,8281.0,
pulled,8.182297706604,8293.0,
his,1.87831687927246,8326.0,
coat,1.76021862030029,8357.0,
closer,8.43349456787109,8371.0,
and,2.94020056724548,8397.0,
leaned,7.60589361190796,8444.0,
forward,3.71140456199646,8456.0,
as,5.21737575531006,8481.0,
he,2.18175649642944,8520.0,
walked,6.83878421783447,8539.0,
into,5.61192846298218,8551.0,
the,0.325042724609375,8581.0,
wind,5.49287796020508,8610.0,
But,8.91012382507324,8621.0,
despite,9.22155094146728,8720.0,
the,1.02111494541168,8737.0,
wind,2.28339385986328,8779.0,
strength,4.91493272781372,8791.0,
the,1.55475354194641,8825.0,
man,1.47591316699982,8904.0,
did,3.93391346931458,8917.0,
not,0.0813108086585998,8940.0,
let,6.189612865448,8953.0,
go,0.776736497879028,8976.0,
of,2.04328846931458,8993.0,
his,1.10277843475342,9012.0,
coat,1.39828956127167,9020.0,
He,1.64610111713409,9037.0,High
y,11.1868829727173,9104.0,
the,2.68578290939331,9131.0,
coat,1.55267429351807,9165.0,
tighter,6.00268745422363,9177.0,
burying,10.0012331008911,9218.0,
himself,4.0500659942627,9281.0,
in,0.982298731803894,9320.0,
its,4.80241250991821,9370.0,
fragile,13.1839504241943,9382.0,
shelter,10.8416290283203,9399.0,
of,7.74592924118042,9460.0,
fabric,8.45840930938721,9518.0,
and,3.7796027660369904,9530.0,
hope,11.2337322235107,9574.0,
His,5.49251317977905,9586.0,
face,4.41920900344849,9690.0,
raw,10.3200721740723,9713.0,
and,0.886048853397369,9756.0,
wind,12.3733549118042,9783.0,
burned,15.3208608627319,9801.0,
held,9.36307621002197,9822.0,
a,4.51420545578003,9877.0,
quiet,10.7612018585205,9900.0,
defiance,11.3423900604248,9905.0,
that,2.95163464546204,9942.0,
seemed,4.68819379806519,9995.0,
to,0.673743724822998,10009.0,
mock,8.95187568664551,10039.0,
the,1.42061817646027,10060.0,
storms,11.2577419281006,10093.0,
and,2.5831892490387,10105.0,
less,15.0922355651855,10156.0,
rage,13.4061050415039,10172.0,
The,2.17448806762695,10198.0,Low
sun,3.831050157547,10321.0,
stayed,8.41334342956543,10335.0,
in,1.80417335033417,10363.0,
the,0.121769048273563,10391.0,
sky,0.150713548064232,10402.0,
shining,7.19170331954956,10411.0,
quietly,10.5556659698486,10472.0,
It,4.0933780670166,10510.0,
warmth,8.16968631744385,10623.0,
was,3.6929943561554,10646.0,
soft,8.5452995300293,10681.0,
and,1.12667727470398,10695.0,
steady,7.73529052734375,10732.0,
It,3.01564002037048,10746.0,
didn,5.15101289749146,10841.0,
say,8.483642578125,10855.0,
anything,1.77040553092957,10887.0,
The,2.24234175682068,10907.0,
wind,2.21153450012207,11016.0,
moved,5.27633905410767,11032.0,
quickly,6.94291353225708,11066.0,
but,5.0774941444397,11093.0,
the,2.12288093566895,11169.0,
sun,4.16435813903809,11185.0,
stayed,4.07779550552368,11195.0,
the,7.59848117828369,11226.0,
same,0.589247405529022,11256.0,
In,6.30494976043701,11266.0,
new,15.1223611831665,11382.0,
things,9.93877029418945,11395.0,
would,10.2797966003418,11406.0,
change,5.95483255386353,11416.0,
in,6.9032301902771,11444.0,
time,4.63380575180054,11457.0,
Dr,14.5706462860107,11490.0,
from,4.02514505386353,11499.0,
its,3.42653894424438,11598.0,
relentless,10.6025037765503,11634.0,
onslaught,5.29302930831909,11655.0,
the,0.513532519340515,11678.0,
wind,3.02020597457886,11732.0,
fal,12.7520084381104,11792.0,
in,4.6337103843689,11807.0,
bitter,15.2489051818848,11837.0,
disbelief,10.1728782653809,11887.0,
realizing,12.0710821151733,11907.0,
that,1.14801776409149,11935.0,
no,5.11471080780029,12053.0,
matter,1.76621782779694,12112.0,
how,0.758723795413971,12128.0,
violently,11.0394811630249,12149.0,
it,0.868854641914368,12180.0,
screamed,9.42802238464356,12200.0,
the,2.97969889640808,12257.0,
man,3.11258769035339,12269.0,
stood,7.91300487518311,12329.0,
un,6.27936029434204,12340.0,
a,11.6301670074463,12373.0,
stone,8.27245712280273,12410.0,
beneath,7.46836709976196,12509.0,
a,6.47756767272949,12574.0,
storm,7.41404533386231,12582.0,
The,2.01117014884949,12622.0,
wind,2.3841233253479,12654.0,
grew,6.94276762008667,12666.0,
quiet,10.0717430114746,12819.0,
and,2.35135245323181,12832.0,
the,4.68511343002319,12859.0,
sun,3.8720805644989,12878.0,
smiled,8.69894409179688,12926.0,
watching,8.27755546569824,12938.0,
the,1.77612745761871,12946.0,
man,2.84116315841675,12973.0,
slowly,5.2229266166687,13069.0,
begin,8.50175952911377,13108.0,
to,0.412872552871704,13115.0,
take,6.75007772445679,13139.0,
off,4.70660161972046,13183.0,
his,0.462222039699554,13210.0,
coat,0.322507500648499,13221.0,
as,6.6875810623169,13249.0,
he,1.69175839424133,13264.0,
warmed,13.0504150390625,13279.0,
up,2.88699436187744,13308.0,
It,4.35248994827271,13324.0,
had,5.78136730194092,13335.0,
won,8.86775779724121,13370.0,
The,1.76834881305695,13438.0,
world,7.8761157989502,13456.0,
was,2.12538909912109,13475.0,
still,5.20993518829346,13556.0,
again,11.1796398162842,13570.0,
calm,5.05362606048584,13602.0,
and,0.863085031509399,13616.0,
bright,7.11049175262451,13642.0,
under,7.90428686141968,13712.0,
the,0.491428643465042,13765.0,
sun,3.42804265022278,13783.0,
gentle,5.48471212387085,13813.0,
light,4.19956779479981,13833.0,
