Word,Surprisal,Word_Onset,Word_Onset_Samples
The,0,0.99,247.5
sun,12.9838199615479,1.12,280.0
rose,5.86881589889526,1.43,357.5
slowly,6.79091787338257,1.71,427.5
over,4.72610235214233,2.19,547.5
the,0.359032064676285,2.45,612.5
snow,8.5769214630127,2.58,645.0
The,2.72934937477112,3.59,897.5
trees,6.78972864151001,3.73,932.5
were,2.67264842987061,4.06,1015.0
still,3.82707095146179,4.2,1050.0
with,8.31660175323486,4.83,1207.5
snow,8.75181579589844,5.02,1255.0
resting,15.4692115783691,5.36,1340.0
on,0.87716668844223,5.78,1445.0
their,1.78279626369476,5.9,1475.0
branches,1.12906217575073,6.02,1505.0
The,2.38372015953064,7.28,1820.0
air,6.29735660552979,7.42,1855.0
was,0.972295105457306,7.62,1905.0
cold,3.22997069358826,7.78,1945.0
and,1.34154307842255,8.11,2027.5
quiet,6.72634172439575,8.2,2050.0
Everything,8.616135597229,9.31,2327.5
stayed,11.1497449874878,9.74,2435.0
calm,2.64406371116638,10.05,2512.5
just,5.05847692489624,10.45,2612.5
like,2.02740788459778,10.71,2677.5
the,2.30811810493469,10.88,2720.0
day,4.39608955383301,10.98,2745.0
before,0.62680196762085,11.17,2792.5
A,5.86635828018189,11.66,2915.0
distant,8.49341011047363,12.4,3100.0
how,12.4268102645874,12.53,3132.5
of,3.38911557197571,12.85,3212.5
a,4.15136957168579,13.23,3307.5
wolf,6.13310766220093,13.35,3337.5
echoed,7.01141357421875,13.42,3355.0
in,2.62653803825378,13.78,3445.0
the,0.269159197807312,14.17,3542.5
valley,8.29063224792481,14.26,3565.0
but,4.08615589141846,14.34,3585.0
it,2.37637782096863,14.76,3690.0
faded,7.9025373458862300,14.98,3745.0
into,3.45909261703491,15.11,3777.5
silence,2.90990710258484,15.49,3872.5
Suddenly,8.36143684387207,15.74,3935.0
the,1.62550640106201,17.17,4292.5
waves,11.0343446731567,17.33,4332.5
erupted,11.1900596618652,17.73,4432.5
and,2.08731341362,17.86,4465.0
a,3.21242332458496,18.2,4550.0
strange,6.49336862564087,19.06,4765.0
light,5.71664428710938,19.24,4810.0
f,7.72061061859131,19.31,4827.5
across,4.09267377853394,19.73,4932.5
the,0.140502154827118,20.04,5010.0
horizon,5.0975456237793,20.42,5105.0
casting,7.65767526626587,20.82,5205.0
eerie,8.59931373596191,20.93,5232.5
shadows,0.462583392858505,21.89,5472.5
over,2.10407018661499,22.37,5592.5
the,0.281124085187912,22.65,5662.5
frozen,8.34952926635742,23.11,5777.5
