Word,Surprisal,Word_Onset_Samples,Surprisal_Boundary
The,,247.5,Low
sun,12.9838199615479,280.0,
rose,5.86881589889526,357.5,
slowly,6.79091787338257,427.5,
over,4.72610235214233,547.5,
the,0.359032064676285,612.5,
snow,8.5769214630127,645.0,
The,2.72934937477112,897.5,
trees,6.78972864151001,932.5,
were,2.67264842987061,1015.0,
still,3.82707095146179,1050.0,
with,8.31660175323486,1207.5,
snow,8.75181579589844,1255.0,
resting,15.4692115783691,1340.0,
on,0.87716668844223,1445.0,
their,1.78279626369476,1475.0,
branches,1.12906217575073,1505.0,
The,2.38372015953064,1820.0,
air,6.29735660552979,1855.0,
was,0.972295105457306,1905.0,
cold,3.22997069358826,1945.0,
and,1.34154307842255,2027.5,
quiet,6.72634172439575,2050.0,
Everything,8.616135597229,2327.5,
stayed,11.1497449874878,2435.0,
calm,2.64406371116638,2512.5,
just,5.05847692489624,2612.5,
like,2.02740788459778,2677.5,
the,2.30811810493469,2720.0,
day,4.39608955383301,2745.0,
before,0.62680196762085,2792.5,
A,5.86635828018189,2915.0,High
distant,8.49341011047363,3100.0,
how,12.4268102645874,3132.5,
of,3.38911557197571,3212.5,
a,4.15136957168579,3307.5,
wolf,6.13310766220093,3337.5,
echoed,7.01141357421875,3355.0,
in,2.62653803825378,3445.0,
the,0.269159197807312,3542.5,
valley,8.29063224792481,3565.0,
but,4.08615589141846,3585.0,
it,2.37637782096863,3690.0,
faded,7.9025373458862300,3745.0,
into,3.45909261703491,3777.5,
silence,2.90990710258484,3872.5,
Suddenly,8.36143684387207,3935.0,
the,1.62550640106201,4292.5,
waves,11.0343446731567,4332.5,
erupted,11.1900596618652,4432.5,
and,2.08731341362,4465.0,
a,3.21242332458496,4550.0,
strange,6.49336862564087,4765.0,
light,5.71664428710938,4810.0,
f,7.72061061859131,4827.5,
across,4.09267377853394,4932.5,
the,0.140502154827118,5010.0,
horizon,5.0975456237793,5105.0,
casting,7.65767526626587,5205.0,
eerie,8.59931373596191,5232.5,
shadows,0.462583392858505,5472.5,
over,2.10407018661499,5592.5,
the,0.281124085187912,5662.5,
frozen,8.34952926635742,5777.5,
landscape,2.78008341789246,5835.0,
