index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Experimenter.started,reminder.started,Experimenter.stopped,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,Summary.started,textbox.started,summary_done.started,Summary.stopped,textbox.text,summary_done.numClicks,summary_done.timesOn,summary_done.timesOff,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,Start_Sum_Exp.stopped,sum_button.numClicks,sum_button.timesOn,sum_button.timesOff,textbox.stopped,summary_done.stopped,Thanks.started,text_7.started,text_7.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,83.79600387499977,,0.010938291999991634,0.04116720799993345,2.4102018749999843,2.410212166999372,44.832395041999916,44.84262312499959,44.86051212499933,44.86051212499933,44.86051212499933,47.14717429199936,1,[2.294053208999685],[2.29406683399975],47.148648957999285,47.194975166999754,47.199169582999275,77.21455004199925,77.18623641699924,77.2068576669999,77.43429174999983,77.43429174999983,81.19804129199929,82.03136591699968,10,3.9664675829999396,1,[0.8429326249997757],[0.842935208000199],82.03202287499971,82.03766766699937,83.74764824999966,1,[1.7149392500004979],[1.7149501670000973],83.74859874999947,83.79600387499977,83.79600387499977,113.75368174999949,"They were discussing a man who was odd, tried to shake hands with  jane's foot in a "romantic way"? they were eating nachoes with creamy cheese dip",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
1,Someday_trial_condition.wav,Someday__Someday__Maybe__Unabridged___File_069_of_116_3.wav,It's a gut feeling You can't nickname him He's a real person not a joke person You don't have to tell me Only a real person would try to shake hands with my best friend's foot Jane you're not explaining it right It was very romantic And thankfully our steaming bowl of bright yellow melted cheese with flecks of green chilies arrives Listen she says dipping a chip into the creamy depths You're the one with the brand new personality I'm still the same old Jane,"What does the narrator have, according to Jane?",A) A new recipe for dipping sauce,B) A new personality,C) A new restaurant suggestion,D) A new pair of shoes,B) A new personality,yes,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.75416150000001,120.55601029199988,0,,,1,6.781347375000223,6.781350416999885,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,136.48285983299957,,,,,,,120.5567984169993,120.56513300000006,120.56513300000006,120.56513300000006,125.28328599999986,1,[4.723262292000072],[4.723265542000263],125.2835471669996,125.29905712466667,125.29749349999929,131.5024176249999,131.4835229579994,131.49453504199937,131.75531574999968,131.75531574999968,133.34847141699993,134.19471379199967,1,1.8137874589992862,1,[0.871353624999756],[0.8713568339999256],134.19525466699997,134.2001690419993,136.45321308299935,1,[2.2574045000001206],[2.257410167000671],136.45408770799986,136.48285983299957,136.48285983299957,137.30069712499972,,1,[0.842325582999365],[0.8423287909999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
2,Someday_trial_condition-5x.wav,Someday__Someday__Maybe__Unabridged___File_103_of_116_1.wav,Isn't halfway where two people usually meet Well in general maybe But tonight this is sort of a big deal for me It's my night I'm not sure you you don't think I get it Well no I mean how could you I'm having trouble making sense of this conversation James is speaking with authority but there's something wrong Something feels so wrong somehow I don't care about waving and smiling and having my picture taken with him,"How does James speak, according to the narrator?",A) With compassion,B) With grief,C) With hesitation,D) With authority,D) With authority,yes,6.2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.3010952499999,148.8193331249995,0,,,1,11.508128583000143,11.50813187499989,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
,Someday_46_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_024_of_116_2.wav,I almost quit show business tonight I say a little breathless still astonished to have gone from complete despair to something like euphoria in such a short time Again You just quit two weeks ago I did You're a sensitive kid she says laughing That's okay you'll get tougher Let's have non farewell to show business drinks instead I'm meeting Leighton at Joe Allen Want to join Dina and I sit at the glossy wood bar at Joe Allen crowded with actors whose shows have just let out and patrons who've come from the theater,What is Dina inviting the narrator to?,A. Tea at her place,B. Drinks at a bar,C. Dinner at a restaurant,D. Party at an actor's house,B. Drinks at a bar,no,14.95,,,,,,,,,,,,,0,0,0,0,,,,,,,,,164.33581874999982,,,,,,,,,,,,,,,165.65273849999994,165.68474700033272,165.67528816699996,180.6359532919996,180.6370610419999,180.6482882499995,180.85671962499964,180.85671962499964,183.22951216699948,186.94217062499956,8.966666666666667,2.553013290999843,1,[3.7218722500001604],[3.7218750830006684],,,,,,,,,,,,,,,186.9428694999997,189.98869458299941,0,,,1,3.0360593329996846,3.0360627499994735,0,,,0,,,148.81977945799918,148.8333242079998,148.8333242079998,164.1891273329993,1,[15.36808183300036],[15.36809833299958],164.32401691699943,164.33581874999982,164.33581874999982,164.33581874999982,165.65232029199979,1,[1.3240279999999984],[1.3240313750002315],,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
,Someday_40_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_021_of_116_3.wav,Aren't you cold It's James Franklin the last person I want to see right now Nothing could make me feel worse after what happened tonight than to be reminded that a guy I gushed all over got my phone number but never called me Even after I learned that he and Penelope were some sort of couple I held my breath every day for the last two weeks while waiting for the machine to rewind hoping he'd left a message but he never did James smiles at me and stamps his feet rubbing his hands together and blowing on them,Why does the narrator feel embarrassed to see James Franklin?,A. Because he got her phone number but never called,B. Because he is dating Penelope,C. Because he reminds her of a bad experience,D. Because he is unfriendly,A. Because he got her phone number but never called,yes,7.0725,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,0,205.23704154200004,,,,,,,,,,,,,,,191.92648474999987,191.94203224966648,191.94060720800007,199.00671599999987,199.02105995799957,199.03229549999924,199.24067945799925,199.24067945799925,201.44694895799967,203.67135433299973,3.033333333333333,3.799892541999725,1,[2.2337322080002195],[2.23373491700022],,,,,,,205.22549866699956,205.23704154200004,205.23704154200004,215.55359579199921,"government, invited for cheese and wine?",1,[10.324883750000481],[10.324887249999847],,,,,,,,,,,,,,,,,,,,,,189.98979858299936,190.00236499999937,190.00236499999937,190.00236499999937,191.92625299999963,1,[1.9349712499997622],[1.9349747500000376],203.6718833749992,203.6774811669993,205.22491379199982,1,[1.5524032920002355],[1.5524062920003416],,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
,Someday_40_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_021_of_116_3.wav,Aren't you cold It's James Franklin the last person I want to see right now Nothing could make me feel worse after what happened tonight than to be reminded that a guy I gushed all over got my phone number but never called me Even after I learned that he and Penelope were some sort of couple I held my breath every day for the last two weeks while waiting for the machine to rewind hoping he'd left a message but he never did James smiles at me and stamps his feet rubbing his hands together and blowing on them,Why does the narrator feel embarrassed to see James Franklin?,A. Because he got her phone number but never called,B. Because he is dating Penelope,C. Because he reminds her of a bad experience,D. Because he is unfriendly,A. Because he got her phone number but never called,yes,7.0725,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
,Someday_40_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_021_of_116_3.wav,Aren't you cold It's James Franklin the last person I want to see right now Nothing could make me feel worse after what happened tonight than to be reminded that a guy I gushed all over got my phone number but never called me Even after I learned that he and Penelope were some sort of couple I held my breath every day for the last two weeks while waiting for the machine to rewind hoping he'd left a message but he never did James smiles at me and stamps his feet rubbing his hands together and blowing on them,Why does the narrator feel embarrassed to see James Franklin?,A. Because he got her phone number but never called,B. Because he is dating Penelope,C. Because he reminds her of a bad experience,D. Because he is unfriendly,A. Because he got her phone number but never called,yes,7.0725,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.5540700419997,222.95535370800008,0,,,0,,,1,7.389240833000258,7.389244208000491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_3,001,2024-05-04_11h56.23.373,speech_rate,2023.2.3,None,2024-05-04 11h56.35.950509 -0700,
